train_density,station_load,time_of_day,route_type,congestion_level
31.52,563.2,morning,urban,Medium
15.54,1776.5,morning,urban,Low
4.73,5725.7,night,suburban,Low
12.43,1556.6,evening,urban,Low
9.9,4099.0,evening,suburban,Low
21.4,2736.9,night,suburban,Low
26.23,9449.1,morning,urban,High
13.04,6493.1,afternoon,intercity,Low
39.66,6124.0,night,urban,Medium
18.8,7481.9,morning,suburban,High
31.03,2104.7,night,suburban,Low
34.97,8809.0,evening,intercity,High
38.88,5775.8,morning,suburban,High
8.82,5823.7,morning,urban,Medium
16.16,7000.0,night,intercity,Low
41.47,1816.1,night,suburban,Low
35.58,9805.1,evening,urban,High
26.33,2564.9,afternoon,intercity,Low
45.68,3332.1,afternoon,suburban,Medium
13.1,9914.1,evening,intercity,Medium
22.94,885.5,evening,urban,Medium
24.94,4831.2,afternoon,suburban,Medium
9.42,7109.7,evening,intercity,Medium
11.21,1295.4,morning,intercity,Low
32.02,9650.0,night,suburban,Medium
1.0,6492.8,evening,suburban,Low
20.47,6512.0,morning,intercity,Medium
15.38,1983.0,night,intercity,Low
38.75,9897.3,night,intercity,Medium
22.71,7657.7,evening,urban,High
46.11,7158.1,morning,suburban,High
42.18,7276.1,evening,suburban,High
10.48,9273.2,night,intercity,Low
46.16,6820.6,morning,intercity,High
29.83,6812.3,evening,intercity,Medium
6.74,8805.9,evening,suburban,Medium
6.93,2261.6,morning,urban,Low
23.05,4768.6,evening,suburban,Medium
24.31,1776.6,evening,suburban,Low
48.99,9469.5,afternoon,intercity,High
10.1,937.7,evening,urban,Low
8.28,5206.2,evening,urban,Medium
35.23,2087.3,night,intercity,Low
28.97,5219.0,evening,intercity,Medium
7.78,8719.4,morning,intercity,Medium
15.68,9356.6,morning,intercity,Medium
12.17,7494.2,evening,intercity,Medium
25.84,9611.1,night,suburban,Medium
10.9,2483.8,afternoon,intercity,Low
36.64,4478.8,afternoon,intercity,Medium
25.34,3831.1,afternoon,suburban,Medium
4.74,2658.7,evening,intercity,Low
25.2,9300.5,morning,urban,High
29.98,7200.2,morning,intercity,High
25.91,7057.8,afternoon,urban,High
12.03,2574.8,evening,urban,Low
46.98,4675.6,evening,suburban,High
11.6,2241.3,morning,intercity,Low
10.9,4457.0,afternoon,suburban,Low
21.87,3516.5,afternoon,intercity,Low
16.54,7192.6,morning,urban,High
39.25,6458.0,night,intercity,Low
6.3,2255.8,evening,intercity,Low
41.23,1243.6,morning,suburban,Medium
30.81,8183.9,morning,suburban,High
41.1,4350.0,afternoon,suburban,Medium
8.02,9059.7,evening,suburban,Medium
23.07,2290.7,morning,urban,Medium
45.0,349.7,evening,suburban,Medium
44.4,5239.4,afternoon,suburban,High
16.36,6265.0,night,suburban,Low
39.53,7079.6,morning,intercity,High
34.76,1003.5,morning,intercity,Low
20.29,3705.4,night,suburban,Low
37.43,2520.3,morning,urban,High
24.09,6220.1,night,urban,Medium
18.15,9639.2,night,urban,Medium
19.21,5841.2,night,intercity,Low
45.54,9033.2,evening,intercity,High
22.99,8732.3,evening,intercity,High
11.96,2797.2,night,suburban,Low
30.96,593.4,afternoon,suburban,Low
46.78,826.6,evening,urban,High
30.91,7200.4,evening,urban,High
39.88,3959.7,afternoon,suburban,Medium
43.46,5532.1,evening,urban,High
44.25,5191.8,afternoon,urban,High
5.0,1074.1,afternoon,suburban,Low
31.48,2018.2,morning,intercity,Medium
39.75,8577.0,night,suburban,Medium
31.37,9988.9,morning,suburban,High
38.07,4103.5,night,intercity,Low
33.92,780.6,evening,urban,Medium
21.23,1659.7,morning,urban,Medium
45.73,2606.5,morning,urban,High
20.13,5391.3,afternoon,urban,Medium
37.28,9808.6,afternoon,urban,High
15.15,1355.5,morning,suburban,Low
21.46,1012.9,morning,urban,Low
39.08,6767.9,night,intercity,Low
42.79,2536.7,evening,urban,High
11.48,6495.4,morning,urban,High
49.73,5254.3,evening,intercity,High
8.0,1233.8,night,suburban,Low
39.67,2074.8,night,suburban,Low
22.43,4925.6,evening,suburban,Medium
25.49,9053.2,evening,urban,High
32.13,8479.4,evening,suburban,High
21.37,2053.7,evening,urban,Medium
49.78,536.7,evening,intercity,Medium
18.15,9435.3,morning,urban,High
5.6,8560.2,afternoon,intercity,Low
44.51,7748.1,afternoon,urban,High
16.48,6670.5,afternoon,intercity,Low
49.9,4874.7,evening,suburban,High
44.85,2044.7,morning,suburban,High
15.03,977.6,evening,urban,Low
31.83,8723.1,night,intercity,Low
46.83,1880.7,morning,suburban,High
1.4,6794.0,morning,intercity,Low
28.78,6741.4,evening,suburban,High
40.33,7088.7,afternoon,urban,High
5.33,8411.5,night,intercity,Low
25.86,3901.7,morning,intercity,Medium
26.06,8385.1,afternoon,urban,High
45.79,2969.5,evening,intercity,Medium
48.49,2751.2,afternoon,intercity,Medium
5.38,6019.5,evening,urban,Medium
1.97,827.7,evening,intercity,Low
23.74,7099.5,night,intercity,Low
25.47,1804.1,morning,urban,Medium
10.73,5611.3,morning,suburban,Medium
38.14,8210.6,night,intercity,Medium
12.67,9979.8,morning,suburban,High
39.14,9943.4,night,intercity,Medium
10.77,1974.5,morning,suburban,Low
44.21,3708.2,evening,suburban,High
7.1,5503.1,evening,suburban,Medium
32.7,7244.3,afternoon,urban,High
24.16,2625.5,evening,suburban,Medium
9.39,3000.5,morning,intercity,Low
11.35,1564.5,night,urban,Low
31.39,3652.3,afternoon,suburban,Medium
31.89,958.3,afternoon,urban,Medium
35.25,7550.5,afternoon,intercity,Medium
40.02,9591.2,afternoon,urban,High
44.64,8585.2,morning,urban,High
49.32,8040.1,night,suburban,Medium
45.62,5983.9,afternoon,intercity,Medium
47.18,7262.2,evening,urban,High
29.38,5583.8,morning,urban,High
22.65,6512.9,morning,intercity,Medium
48.94,4687.3,evening,intercity,High
11.35,9710.0,morning,suburban,High
9.0,3202.2,night,intercity,Low
32.63,687.7,afternoon,suburban,Low
49.89,2224.4,afternoon,urban,High
33.28,2831.1,evening,suburban,Medium
43.21,6210.0,morning,intercity,High
31.53,5297.0,afternoon,intercity,Medium
25.33,3541.6,afternoon,suburban,Medium
3.7,878.6,evening,intercity,Low
21.38,8443.1,night,urban,Medium
23.42,8743.3,evening,intercity,High
1.75,3374.5,night,intercity,Low
40.22,4095.6,evening,suburban,High
22.05,5398.9,morning,intercity,Medium
38.64,7937.3,evening,suburban,High
33.52,9385.8,evening,intercity,High
30.07,2799.6,afternoon,urban,Medium
15.51,5258.5,morning,urban,Medium
49.52,6431.6,night,suburban,Medium
7.47,9985.9,night,suburban,Low
31.55,1465.9,evening,intercity,Low
13.41,5800.0,afternoon,suburban,Low
23.61,8195.4,afternoon,suburban,Medium
18.96,2331.2,evening,suburban,Low
36.97,4006.5,morning,urban,High
15.7,3945.0,evening,urban,Medium
47.33,7425.1,evening,urban,High
12.05,1244.3,afternoon,intercity,Low
2.0,7846.3,afternoon,suburban,Low
4.25,3263.3,evening,urban,Low
40.44,3004.1,afternoon,urban,High
7.49,2797.9,morning,urban,Low
2.74,5802.0,morning,suburban,Low
26.55,265.1,morning,suburban,Low
24.7,5263.6,afternoon,intercity,Medium
43.0,4798.3,evening,urban,High
24.53,5602.2,morning,urban,High
31.15,5334.7,afternoon,urban,High
27.47,7128.2,morning,suburban,High
21.1,7815.6,afternoon,urban,High
12.63,6615.2,morning,urban,High
19.13,1222.0,afternoon,urban,Low
32.17,2620.6,evening,intercity,Medium
30.25,339.8,night,suburban,Low
9.06,7445.1,afternoon,suburban,Medium
6.86,3993.6,night,intercity,Low
49.07,4222.9,afternoon,suburban,High
41.9,2183.7,evening,suburban,Medium
14.02,6472.9,morning,suburban,Medium
25.17,1439.1,evening,suburban,Low
1.08,6796.0,morning,suburban,Medium
9.73,6648.3,morning,urban,High
6.96,1218.3,afternoon,intercity,Low
3.74,6270.6,evening,intercity,Low
4.43,7271.7,morning,suburban,Medium
24.42,4979.3,night,suburban,Low
11.85,3799.6,afternoon,intercity,Low
1.66,6313.3,afternoon,urban,Low
38.95,8062.5,evening,intercity,High
23.34,9751.4,afternoon,urban,High
23.04,5183.2,afternoon,intercity,Low
18.29,5194.7,evening,intercity,Medium
41.13,2342.3,afternoon,intercity,Medium
9.09,7994.9,evening,urban,High
24.58,6146.4,evening,intercity,Medium
47.28,1819.0,morning,suburban,High
49.29,5938.6,afternoon,suburban,High
8.13,7055.1,evening,suburban,Medium
1.11,7116.7,morning,suburban,Medium
44.25,8091.6,night,suburban,Medium
48.14,6745.2,evening,urban,High
30.38,7335.7,evening,suburban,High
33.77,370.1,night,suburban,Low
32.61,3187.0,evening,intercity,Medium
28.98,7711.3,night,intercity,Low
41.01,6381.5,morning,intercity,High
17.43,9994.5,afternoon,urban,High
48.38,6700.8,morning,urban,High
46.01,5282.1,morning,urban,High
8.39,4523.8,evening,urban,Medium
28.15,8316.6,morning,intercity,High
31.96,3642.1,morning,urban,High
16.92,4682.8,evening,suburban,Medium
32.06,3061.7,morning,intercity,Medium
26.34,2645.7,afternoon,suburban,Low
20.7,8173.8,evening,intercity,Medium
38.85,2619.9,evening,urban,High
8.01,7306.8,afternoon,intercity,Low
25.93,9773.5,morning,intercity,High
13.83,7332.7,evening,suburban,Medium
15.85,7125.8,evening,suburban,Medium
31.87,9133.6,night,urban,Medium
14.71,9749.8,night,urban,Medium
31.72,6851.7,afternoon,suburban,Medium
45.78,8517.3,morning,suburban,High
36.05,1542.9,afternoon,suburban,Medium
13.56,6116.4,evening,intercity,Medium
48.57,9266.8,night,suburban,Medium
12.18,907.5,evening,urban,Low
32.95,2693.8,night,suburban,Low
4.87,8275.1,afternoon,suburban,Medium
24.32,5874.7,night,suburban,Low
3.57,7352.5,afternoon,urban,Medium
40.0,2977.2,evening,suburban,High
29.42,5378.0,evening,intercity,Medium
7.83,2057.9,morning,urban,Low
1.86,7201.2,evening,urban,Medium
11.32,2950.6,evening,suburban,Low
11.2,4916.6,afternoon,suburban,Low
39.49,9558.7,afternoon,suburban,High
16.98,7957.9,morning,suburban,High
2.32,5513.5,evening,urban,Medium
27.26,9365.0,night,urban,Medium
6.81,5699.0,afternoon,intercity,Low
24.55,6176.4,morning,urban,High
41.97,8017.2,morning,intercity,High
14.81,1552.4,evening,urban,Low
44.07,338.7,afternoon,intercity,Low
12.5,3865.2,afternoon,suburban,Low
34.33,3256.8,afternoon,urban,Medium
26.08,7391.7,evening,suburban,High
24.93,2037.0,night,urban,Low
15.12,3975.6,evening,urban,Medium
31.06,145.1,afternoon,suburban,Low
9.28,967.0,night,intercity,Low
21.55,9041.0,morning,intercity,High
26.23,5532.3,evening,intercity,Medium
25.09,2501.4,evening,urban,Medium
2.89,6211.2,morning,suburban,Low
35.54,7551.7,morning,intercity,High
27.21,5076.9,evening,urban,High
4.71,3626.7,afternoon,urban,Low
44.03,5038.2,evening,suburban,High
43.86,6713.3,afternoon,urban,High
8.65,3998.9,afternoon,urban,Low
11.23,5228.6,morning,intercity,Low
29.24,9581.4,morning,urban,High
33.58,8934.8,evening,suburban,High
43.62,4505.7,morning,intercity,High
33.67,3825.9,morning,intercity,Medium
39.63,3700.2,evening,urban,High
31.2,9286.2,afternoon,suburban,High
49.51,2998.6,morning,intercity,High
44.44,732.4,morning,suburban,Medium
36.33,377.2,morning,urban,Medium
22.97,872.2,afternoon,intercity,Low
3.94,9185.3,night,urban,Low
19.71,9970.9,night,intercity,Low
6.58,9712.1,night,intercity,Low
35.54,9514.4,night,urban,High
5.55,4713.1,morning,urban,Medium
46.11,5605.6,morning,suburban,High
15.37,5836.4,evening,intercity,Medium
34.63,6364.3,afternoon,urban,High
4.82,1342.7,evening,intercity,Low
24.88,9020.8,morning,intercity,High
3.56,3824.3,night,urban,Low
12.73,4794.4,afternoon,suburban,Low
23.91,2968.3,night,suburban,Low
42.7,3296.2,morning,urban,High
34.11,756.0,afternoon,suburban,Low
19.09,904.2,afternoon,suburban,Low
6.66,6412.2,evening,urban,Medium
49.54,9403.6,morning,suburban,High
39.55,2844.1,morning,suburban,High
37.12,4981.3,evening,suburban,High
37.3,6182.7,morning,intercity,High
26.71,4084.7,evening,intercity,Medium
14.13,7936.6,morning,intercity,Medium
8.32,3148.6,afternoon,intercity,Low
37.89,6403.3,evening,urban,High
40.67,388.9,afternoon,suburban,Medium
1.14,9895.8,afternoon,urban,Medium
7.41,1332.0,morning,suburban,Low
46.08,7687.5,night,intercity,Medium
44.86,4475.7,morning,intercity,High
24.98,7516.8,afternoon,intercity,Medium
2.07,5197.5,afternoon,suburban,Low
42.57,8689.6,afternoon,intercity,High
20.65,9633.9,morning,intercity,High
28.35,2215.3,afternoon,urban,Medium
31.75,6087.6,morning,suburban,High
20.81,3616.7,evening,intercity,Low
43.24,6690.2,afternoon,intercity,Medium
17.39,7568.0,afternoon,suburban,Medium
34.1,8346.6,evening,intercity,High
44.79,6990.8,afternoon,urban,High
45.82,6560.9,evening,urban,High
3.59,9356.8,morning,suburban,Medium
4.66,8293.3,evening,intercity,Medium
2.95,8960.6,night,urban,Low
3.26,336.9,afternoon,intercity,Low
40.43,2054.3,afternoon,suburban,Medium
33.76,2823.0,afternoon,urban,Medium
47.35,6564.1,evening,suburban,High
44.38,2222.6,night,urban,Medium
28.4,7469.5,afternoon,intercity,Medium
6.97,7783.3,morning,intercity,Medium
24.5,8748.5,morning,suburban,High
38.58,6591.5,night,suburban,Medium
6.62,4891.3,morning,urban,Medium
36.23,4527.8,afternoon,suburban,Medium
11.01,1437.7,morning,suburban,Low
44.6,1568.7,night,intercity,Low
10.35,8288.1,morning,intercity,Medium
41.95,9835.5,afternoon,suburban,High
6.29,2141.9,morning,intercity,Low
33.1,9627.6,evening,suburban,High
2.86,778.3,morning,intercity,Low
33.46,4877.8,morning,suburban,High
35.28,2430.7,afternoon,urban,Medium
41.53,7508.3,afternoon,intercity,Medium
37.13,7830.2,evening,intercity,High
46.07,732.7,afternoon,intercity,Low
10.84,8357.3,afternoon,suburban,Medium
44.22,6640.4,afternoon,intercity,Medium
29.33,1067.1,night,intercity,Low
35.62,8189.7,evening,suburban,High
20.85,5004.5,afternoon,intercity,Low
18.44,9707.2,evening,urban,High
38.69,9101.7,evening,intercity,High
35.69,487.0,morning,suburban,Medium
18.03,4337.1,afternoon,urban,Medium
10.79,1697.3,morning,urban,Low
37.75,6790.5,morning,intercity,High
15.07,7715.2,evening,intercity,Medium
8.34,4047.9,evening,intercity,Low
46.55,7954.8,morning,suburban,High
25.92,2260.1,night,urban,Low
16.41,3069.1,evening,suburban,Low
1.57,2418.8,afternoon,urban,Low
12.2,9478.8,afternoon,suburban,Medium
13.06,484.8,morning,intercity,Low
16.33,6374.9,morning,suburban,Medium
40.83,7810.9,morning,intercity,High
15.73,7243.5,evening,suburban,Medium
27.75,7605.4,afternoon,suburban,Medium
41.85,5740.6,morning,intercity,High
32.89,6552.6,afternoon,suburban,Medium
8.62,6338.8,morning,suburban,Medium
30.1,5576.7,afternoon,suburban,Medium
36.98,7493.6,morning,urban,High
22.47,3785.0,morning,intercity,Medium
46.56,7656.0,evening,urban,High
32.51,5214.0,morning,suburban,High
32.21,1128.7,evening,suburban,Medium
39.03,3821.0,afternoon,suburban,Medium
36.21,8777.4,afternoon,intercity,High
35.38,6100.7,night,suburban,Medium
22.3,2650.5,afternoon,intercity,Low
30.65,1958.5,evening,urban,Medium
31.87,6288.6,evening,suburban,High
4.81,1036.6,morning,urban,Low
22.02,4118.6,evening,intercity,Medium
36.45,7026.9,afternoon,urban,High
36.14,4755.0,afternoon,intercity,Medium
14.24,2875.5,afternoon,intercity,Low
35.71,4028.8,evening,urban,High
27.12,9476.7,night,suburban,Medium
40.47,5560.1,morning,suburban,High
44.23,625.8,morning,suburban,Medium
24.74,1587.4,morning,urban,Medium
29.88,2768.4,night,urban,Low
44.49,9921.6,evening,urban,High
31.21,7621.4,morning,suburban,High
21.34,4160.3,morning,suburban,Medium
37.98,6124.7,morning,urban,High
26.63,2396.8,night,urban,Low
38.25,5031.7,evening,urban,High
46.12,5525.0,evening,urban,High
36.9,4234.7,afternoon,intercity,Medium
7.36,4451.8,night,suburban,Low
34.63,2184.8,morning,suburban,Medium
30.09,5484.1,morning,urban,High
48.65,5319.2,morning,urban,High
36.12,8250.7,afternoon,suburban,High
35.85,2306.6,afternoon,suburban,Medium
38.39,6375.5,afternoon,suburban,High
41.4,141.7,evening,urban,Medium
4.09,9056.3,morning,suburban,Medium
15.97,9008.1,night,urban,Medium
42.04,8850.7,evening,intercity,High
28.01,9054.5,afternoon,intercity,Medium
27.71,5674.6,evening,intercity,Medium
32.92,7049.6,evening,urban,High
18.96,8055.3,night,intercity,Low
11.19,1142.7,evening,intercity,Low
27.56,2045.1,night,intercity,Low
36.39,3380.8,morning,suburban,Medium
40.19,8752.2,night,suburban,Medium
1.64,7910.0,morning,intercity,Medium
17.81,2396.0,evening,urban,Medium
37.15,3421.4,afternoon,intercity,Medium
2.51,8173.7,night,intercity,Low
46.25,929.7,evening,urban,High
43.55,3485.7,evening,suburban,High
43.48,2835.7,evening,suburban,High
6.75,3627.0,morning,suburban,Low
43.33,2327.6,afternoon,intercity,Medium
46.86,8076.2,afternoon,suburban,High
32.02,6685.2,afternoon,intercity,Medium
41.72,5769.2,night,urban,Medium
27.9,9222.9,night,suburban,Medium
19.82,807.8,morning,intercity,Low
35.25,4512.3,morning,intercity,Medium
10.93,6672.4,evening,urban,High
43.15,4460.4,night,urban,Medium
43.71,4132.4,morning,suburban,High
41.31,6292.2,evening,intercity,High
23.46,9233.0,afternoon,urban,High
15.41,9046.8,morning,intercity,Medium
47.98,4718.4,night,suburban,Medium
16.74,8303.9,evening,urban,High
5.13,4828.8,afternoon,suburban,Low
30.65,7860.8,evening,urban,High
26.19,9069.8,afternoon,suburban,High
26.89,2471.6,night,suburban,Low
43.59,2305.8,afternoon,suburban,Medium
3.29,2703.9,evening,suburban,Low
30.63,4489.2,evening,intercity,Medium
35.22,7117.5,afternoon,urban,High
40.79,221.8,evening,intercity,Medium
22.81,366.6,night,suburban,Low
22.84,327.9,evening,suburban,Low
3.87,5530.9,evening,intercity,Low
1.39,3806.6,morning,urban,Low
39.4,1016.1,night,intercity,Low
19.65,9156.3,evening,intercity,High
6.5,7842.2,morning,urban,High
1.14,8888.2,evening,intercity,Medium
6.03,8167.2,afternoon,suburban,Medium
23.62,2489.3,afternoon,intercity,Low
12.57,3793.5,morning,intercity,Low
46.0,1494.7,evening,suburban,High
36.61,4810.6,night,intercity,Low
1.3,1407.1,evening,urban,Low
35.84,4667.8,afternoon,intercity,Medium
13.0,359.2,afternoon,suburban,Low
14.43,7100.7,morning,intercity,Medium
48.3,6802.3,morning,urban,High
15.07,1084.8,morning,intercity,Low
11.7,8908.3,night,suburban,Low
9.77,1079.4,afternoon,intercity,Low
7.0,5134.2,evening,urban,Medium
46.39,8967.9,morning,urban,High
6.59,6384.8,night,suburban,Low
18.81,5182.2,afternoon,suburban,Medium
24.88,6525.5,afternoon,intercity,Medium
27.54,4258.1,night,urban,Low
10.0,2880.4,morning,urban,Low
2.56,7540.5,evening,urban,Medium
13.41,7909.2,morning,urban,High
43.15,8247.2,morning,intercity,High
12.4,9594.4,night,urban,Medium
18.76,3415.1,afternoon,suburban,Low
11.16,4162.3,morning,urban,Medium
6.04,8910.0,afternoon,intercity,Low
7.23,5966.0,night,suburban,Low
12.72,595.2,evening,intercity,Low
23.62,2918.5,afternoon,urban,Medium
1.67,4284.6,morning,intercity,Low
5.08,5084.6,morning,suburban,Low
2.02,6577.9,evening,suburban,Medium
6.35,6685.2,night,intercity,Low
22.01,504.0,morning,suburban,Low
2.84,6412.0,morning,suburban,Medium
48.45,6473.0,afternoon,intercity,High
30.07,8179.4,evening,urban,High
46.43,432.3,morning,urban,High
11.14,5751.5,afternoon,intercity,Low
34.68,2322.0,morning,intercity,Medium
46.64,7533.3,afternoon,suburban,High
39.53,9680.7,evening,urban,High
19.3,7327.7,evening,suburban,High
41.14,1968.1,morning,suburban,Medium
22.64,986.1,morning,intercity,Low
38.46,1297.6,evening,suburban,Medium
6.13,8229.8,morning,suburban,Medium
34.82,6083.6,evening,urban,High
37.49,5944.4,morning,urban,High
39.02,183.4,afternoon,intercity,Low
33.75,662.3,evening,suburban,Medium
5.84,3768.0,morning,suburban,Low
37.92,411.1,morning,suburban,Medium
46.35,2310.8,evening,intercity,Medium
49.9,6491.6,evening,urban,High
46.98,6409.0,afternoon,intercity,Medium
32.57,6780.2,morning,intercity,High
17.51,1989.0,night,intercity,Low
40.31,2196.7,morning,suburban,Medium
29.14,4123.0,afternoon,suburban,Medium
37.06,6562.4,morning,urban,High
1.35,3831.6,night,intercity,Low
42.05,2426.6,evening,suburban,High
42.15,5161.6,afternoon,intercity,Medium
11.01,995.7,evening,urban,Low
25.13,2113.3,morning,suburban,Medium
47.86,2755.6,evening,urban,High
8.97,7070.9,evening,urban,High
5.19,8146.2,evening,intercity,Medium
2.02,877.3,afternoon,suburban,Low
43.42,6558.3,morning,urban,High
48.4,6269.8,afternoon,intercity,Medium
42.68,1046.4,morning,urban,High
46.84,4119.4,afternoon,urban,High
10.81,2572.9,morning,intercity,Low
19.38,7837.3,morning,suburban,High
16.6,6257.8,morning,suburban,Medium
25.39,8824.1,morning,intercity,High
5.48,5536.3,evening,suburban,Low
24.76,8174.9,night,suburban,Medium
21.62,1453.1,morning,suburban,Low
9.88,4001.1,evening,intercity,Low
2.48,1918.2,morning,intercity,Low
25.3,1532.4,evening,suburban,Low
6.14,6861.0,afternoon,suburban,Low
43.08,3737.2,morning,urban,High
32.88,100.4,evening,suburban,Low
43.64,8560.5,morning,suburban,High
35.01,833.2,morning,urban,Medium
17.78,923.5,afternoon,suburban,Low
30.17,1733.8,morning,intercity,Low
40.07,9707.3,evening,intercity,High
15.49,9368.3,morning,intercity,Medium
20.83,7798.7,evening,suburban,High
12.53,3877.7,evening,intercity,Low
44.18,3297.2,evening,suburban,High
45.3,7577.7,afternoon,suburban,High
40.4,7635.6,afternoon,suburban,High
46.71,9655.2,evening,intercity,High
17.7,8125.0,afternoon,intercity,Medium
28.1,735.4,morning,suburban,Low
36.74,7307.0,evening,intercity,High
44.82,9784.1,afternoon,urban,High
6.73,8054.4,evening,intercity,Medium
20.94,7535.6,morning,intercity,Medium
11.8,5857.0,morning,intercity,Medium
43.09,5692.4,evening,suburban,High
48.31,2663.2,afternoon,suburban,Medium
44.62,4563.2,evening,suburban,High
30.04,1120.4,evening,urban,Medium
43.63,5823.2,night,suburban,Medium
28.97,4586.1,evening,urban,High
34.69,4858.0,evening,suburban,High
20.23,1170.0,evening,suburban,Low
24.39,8918.7,morning,intercity,High
10.02,6610.1,afternoon,intercity,Low
18.66,1276.7,afternoon,intercity,Low
33.32,233.6,afternoon,urban,Medium
34.11,9471.0,evening,urban,High
33.07,3711.4,morning,intercity,Medium
15.29,7366.6,afternoon,intercity,Medium
3.02,1006.8,morning,suburban,Low
21.58,9467.4,morning,urban,High
44.01,5026.9,evening,intercity,High
4.34,8720.6,morning,urban,High
8.53,960.5,morning,suburban,Low
10.63,5166.0,evening,urban,Medium
41.29,1174.6,night,intercity,Low
26.9,9327.9,morning,intercity,High
16.32,6573.4,morning,intercity,Medium
9.04,4609.1,morning,urban,Medium
3.76,7804.6,morning,urban,High
1.62,4568.7,afternoon,intercity,Low
49.4,5863.1,evening,urban,High
36.33,9913.0,morning,suburban,High
39.08,8984.7,morning,intercity,High
37.06,3660.3,morning,suburban,High
42.65,4228.5,afternoon,suburban,Medium
29.0,4993.5,evening,intercity,Medium
16.66,1199.0,evening,intercity,Low
16.75,4122.0,morning,suburban,Medium
40.79,6638.1,afternoon,urban,High
25.97,3813.4,night,suburban,Low
41.71,1173.8,morning,suburban,Medium
28.95,3982.2,evening,suburban,Medium
37.67,381.3,night,intercity,Low
2.62,5765.4,morning,suburban,Low
13.76,283.7,afternoon,urban,Low
14.73,1458.5,evening,urban,Low
40.61,5657.8,morning,suburban,High
40.55,4924.9,morning,suburban,High
36.65,8467.7,afternoon,suburban,High
11.11,4318.2,night,suburban,Low
30.97,8379.1,afternoon,urban,High
18.42,5112.8,morning,urban,High
20.81,2858.1,morning,suburban,Medium
46.79,2296.0,night,suburban,Low
18.87,4099.1,afternoon,suburban,Low
33.64,3213.4,afternoon,urban,Medium
10.85,3291.7,night,intercity,Low
38.56,8272.6,evening,urban,High
30.51,3030.0,afternoon,suburban,Medium
30.45,1154.6,morning,urban,Medium
24.59,9842.1,night,intercity,Low
45.94,8650.1,morning,intercity,High
39.7,5885.8,afternoon,intercity,Medium
11.76,2214.8,morning,urban,Low
29.25,8982.5,night,urban,Medium
12.07,4546.4,morning,intercity,Low
3.5,6454.8,evening,urban,Medium
39.38,5262.8,morning,urban,High
24.67,1688.7,morning,suburban,Low
18.21,794.3,evening,urban,Low
34.62,9966.4,morning,suburban,High
8.7,4248.6,evening,urban,Medium
12.65,6266.8,afternoon,urban,Medium
26.0,1564.4,evening,urban,Medium
31.16,7142.2,morning,intercity,High
32.34,9677.3,morning,intercity,High
33.46,5918.2,evening,urban,High
40.88,1780.1,night,urban,Low
26.52,6230.2,evening,urban,High
