distance,weather,congestion_level,previous_delay,train_type,delay_minutes
1385.7,rain,High,8.62,passenger,22.08
1787.4,clear,Low,0.43,express,10.26
342.2,clear,Low,7.6,passenger,9.36
908.0,clear,Medium,2.97,freight,16.2
1266.0,rain,Medium,15.52,freight,24.59
1681.6,fog,Low,96.47,passenger,46.58
1753.9,rain,Low,14.25,freight,22.51
942.1,clear,Medium,4.71,express,9.61
353.5,storm,Low,0.84,express,14.6
399.1,rain,Medium,7.53,freight,19.96
1285.9,fog,High,2.77,express,15.5
1012.2,clear,Low,4.05,express,7.7
132.0,fog,Low,13.34,freight,20.29
1905.4,clear,Low,9.48,freight,14.7
1323.5,storm,High,8.24,express,25.79
1625.9,clear,Medium,4.34,passenger,11.68
754.5,clear,High,7.71,passenger,17.76
968.1,fog,Low,6.2,passenger,16.17
697.9,clear,Low,2.66,passenger,14.49
392.1,clear,Medium,6.66,passenger,10.28
1834.4,fog,High,10.76,express,23.59
1739.4,storm,Low,17.1,freight,36.93
1129.4,clear,Low,11.42,passenger,14.89
689.5,clear,Low,0.22,express,5.89
590.7,clear,Medium,12.59,freight,21.47
270.6,fog,Medium,16.89,freight,31.3
1408.4,fog,Low,1.4,passenger,13.24
98.9,storm,Low,7.21,passenger,19.4
1214.3,clear,High,1.55,passenger,16.64
1506.0,clear,Medium,1.22,express,12.7
20.9,clear,Medium,31.96,passenger,16.8
1254.5,clear,Low,1.33,express,8.22
1262.0,rain,Medium,6.27,freight,24.47
183.7,clear,Medium,25.26,express,16.24
1451.7,rain,High,0.69,express,19.04
426.7,rain,Medium,6.07,express,10.91
896.0,clear,High,5.46,express,12.77
540.6,rain,High,3.67,express,15.78
224.1,fog,Medium,4.42,freight,26.35
1576.9,clear,High,0.56,express,11.31
1350.2,fog,Low,3.2,passenger,14.74
1591.9,clear,High,26.44,passenger,22.33
906.3,rain,Medium,14.85,express,18.53
559.5,clear,Medium,20.35,passenger,15.62
1382.2,fog,Medium,21.95,freight,34.6
722.3,fog,Low,15.94,passenger,22.41
1377.0,storm,Low,19.73,freight,48.33
279.1,rain,High,5.79,express,21.94
705.7,clear,High,0.2,passenger,12.87
1687.5,clear,High,31.94,express,20.66
531.1,clear,Low,7.77,express,6.5
415.9,storm,Low,28.04,freight,33.27
779.4,clear,Low,0.32,freight,11.87
798.2,storm,Low,1.81,freight,26.74
264.5,storm,Low,3.79,express,10.67
929.4,clear,Medium,1.73,express,10.55
513.9,storm,Medium,7.63,freight,38.76
1982.5,clear,High,18.7,express,15.68
888.4,clear,Low,11.6,freight,14.23
522.6,clear,Medium,0.98,freight,13.7
111.1,clear,Medium,4.67,passenger,17.76
1620.5,rain,Medium,5.23,passenger,17.97
897.5,fog,High,4.42,passenger,23.84
474.9,clear,High,5.29,express,11.36
468.2,clear,Low,26.88,express,14.7
1441.1,rain,Low,12.0,express,15.86
1135.3,clear,Low,10.84,passenger,14.53
862.2,fog,Medium,12.17,freight,28.7
261.7,rain,Low,0.56,express,5.95
200.5,clear,High,16.24,freight,27.0
739.4,clear,Medium,2.82,express,8.55
213.7,clear,Low,22.71,express,10.46
24.4,storm,High,6.93,express,20.3
1588.4,clear,Medium,14.66,freight,24.05
346.4,fog,High,13.2,passenger,26.78
1567.0,clear,Low,12.61,freight,14.97
639.0,clear,High,1.36,passenger,12.15
951.9,storm,Medium,51.17,passenger,43.29
1597.1,fog,Medium,13.35,freight,30.3
1210.3,rain,Medium,1.52,passenger,14.62
931.5,clear,High,6.57,freight,23.3
570.6,storm,Low,11.61,passenger,31.41
124.6,clear,Low,20.55,passenger,14.76
1479.2,clear,Low,2.42,express,10.53
1641.5,clear,Low,4.95,freight,15.46
553.0,storm,High,3.04,passenger,33.31
579.0,rain,Medium,2.47,express,10.49
1650.9,clear,High,6.78,express,15.04
37.7,clear,Medium,18.41,passenger,12.73
89.3,fog,Low,20.69,passenger,38.69
1686.5,fog,Medium,1.17,express,12.15
766.6,clear,Medium,15.31,express,10.63
753.9,fog,High,2.19,express,16.76
679.2,rain,High,10.43,passenger,22.77
569.4,fog,Low,8.3,passenger,15.29
1370.1,storm,Medium,0.48,passenger,31.53
248.8,rain,Medium,11.42,express,11.8
1746.7,clear,High,1.57,express,18.49
1987.3,rain,Low,3.82,passenger,17.12
1609.4,clear,High,9.78,freight,26.93
442.2,rain,High,5.51,passenger,17.64
1511.9,clear,High,11.93,freight,24.56
1689.9,fog,Low,7.31,freight,25.61
237.5,clear,Medium,19.82,express,13.0
1228.0,fog,High,16.99,freight,40.24
282.4,rain,Low,0.49,freight,14.67
1305.1,storm,Medium,27.69,express,29.3
349.4,rain,Low,8.03,passenger,10.84
227.1,rain,Low,3.14,freight,20.7
726.4,clear,Medium,3.24,freight,25.41
648.4,fog,Low,26.36,express,16.11
1205.2,storm,Medium,0.63,express,17.9
1053.3,rain,High,0.29,express,11.88
1607.2,fog,Low,7.2,freight,23.6
639.4,rain,Low,9.08,express,11.35
146.8,rain,Medium,18.54,passenger,17.76
1442.2,clear,Medium,0.41,passenger,11.26
621.2,clear,Low,15.24,passenger,12.51
933.8,clear,Low,24.33,freight,18.38
278.8,clear,Medium,1.71,passenger,8.56
285.0,clear,Low,23.55,freight,16.09
830.2,storm,Medium,8.88,freight,39.13
1721.6,clear,High,3.41,freight,23.28
181.9,clear,Medium,5.39,passenger,9.96
964.6,clear,Medium,0.82,freight,16.33
241.7,clear,Medium,4.9,passenger,10.01
644.4,clear,High,7.04,passenger,19.03
1695.8,rain,Low,2.75,express,12.48
1697.2,fog,High,4.89,passenger,25.11
521.3,rain,Low,36.71,freight,25.61
1770.3,clear,Low,9.85,express,10.42
1181.2,clear,Medium,1.55,freight,14.51
1105.0,rain,High,2.15,express,17.54
1946.1,fog,Medium,12.96,express,19.71
1261.1,clear,Medium,15.39,passenger,14.64
837.3,rain,Medium,12.5,freight,25.98
961.9,clear,High,0.81,freight,19.13
1954.7,rain,Low,1.3,express,12.75
913.4,clear,High,7.25,passenger,14.67
504.6,rain,Low,2.49,express,7.55
981.3,clear,Medium,4.57,passenger,13.8
436.3,fog,Low,6.43,passenger,13.02
1078.1,clear,Medium,4.71,express,8.47
1719.9,fog,Low,1.78,express,16.4
111.2,rain,Medium,25.6,freight,30.61
391.3,clear,Low,7.89,express,8.7
1492.0,clear,Low,5.83,express,13.08
375.0,rain,High,17.81,freight,30.21
419.1,clear,Low,3.79,express,6.11
1182.8,fog,Low,43.12,freight,36.79
994.5,fog,Low,3.19,passenger,15.24
72.6,rain,Medium,5.33,freight,19.13
259.0,clear,High,9.2,freight,21.48
1544.4,clear,High,4.57,freight,20.68
892.7,rain,Low,39.04,passenger,27.69
542.5,clear,Medium,14.5,passenger,12.94
537.0,rain,Low,0.98,freight,13.6
1360.1,clear,Medium,2.13,freight,17.21
1352.0,rain,Medium,0.95,passenger,16.62
1416.8,fog,Medium,4.05,passenger,27.7
1305.2,clear,Low,9.17,freight,17.26
962.9,rain,Low,0.07,freight,17.79
820.2,storm,Medium,6.55,freight,44.5
548.3,clear,Low,16.03,freight,21.15
453.3,fog,Low,8.21,freight,24.39
1816.2,clear,Low,8.81,freight,21.22
83.5,storm,High,4.57,express,20.06
1370.2,fog,Low,6.04,freight,36.16
460.5,clear,Medium,16.96,freight,20.68
926.5,clear,High,3.45,freight,19.6
1891.3,clear,Medium,4.79,freight,20.55
1917.7,clear,High,0.1,express,10.81
503.0,rain,High,17.12,passenger,22.0
103.9,storm,Medium,17.39,freight,46.11
1942.3,clear,Low,12.25,passenger,14.24
1341.7,rain,Low,2.53,express,9.2
1662.0,rain,Low,5.68,express,14.8
1661.3,rain,Medium,1.49,freight,24.06
901.4,rain,Low,77.77,passenger,39.3
1211.3,rain,Medium,16.6,freight,24.31
451.1,rain,Low,2.11,passenger,9.71
493.3,rain,Low,1.83,express,21.35
1049.7,clear,Low,4.21,freight,15.73
1747.8,fog,Low,15.39,express,14.2
795.0,rain,Medium,1.46,express,11.48
625.9,clear,Low,5.52,freight,18.22
967.0,fog,High,2.91,express,16.44
239.0,rain,Low,5.66,freight,15.33
1060.0,clear,Medium,6.59,express,9.07
1428.3,storm,Low,10.06,freight,31.14
954.0,clear,Medium,4.87,freight,15.89
1584.7,clear,High,27.77,freight,33.07
415.6,storm,Medium,7.52,express,18.99
1478.7,rain,Low,7.77,freight,20.02
1650.7,rain,Low,4.34,express,10.61
1446.6,storm,High,22.99,express,37.46
1511.1,rain,Medium,1.41,express,13.65
1670.8,fog,High,2.45,express,18.45
104.7,clear,Medium,5.31,passenger,13.51
934.2,rain,Low,9.46,passenger,14.65
1159.6,rain,Low,3.5,passenger,12.42
743.7,clear,Low,21.38,express,11.74
882.9,storm,Medium,6.84,passenger,28.5
1877.1,clear,Medium,25.79,freight,31.63
67.5,storm,Low,0.27,freight,24.49
1985.6,clear,Medium,7.27,passenger,14.05
1765.6,clear,Medium,0.75,freight,15.54
324.6,storm,Low,9.14,passenger,27.83
936.5,storm,Low,18.76,passenger,22.78
1646.9,storm,Medium,4.84,freight,42.52
687.9,rain,Medium,3.3,freight,22.42
1133.9,clear,High,10.26,passenger,15.42
776.9,clear,High,37.96,freight,31.64
1844.0,rain,Low,2.79,freight,20.28
803.8,storm,Medium,1.09,freight,36.47
904.7,clear,Low,1.34,express,8.85
870.9,clear,Medium,22.7,express,15.92
1063.2,rain,Low,1.58,passenger,11.29
1855.4,clear,Low,3.1,passenger,11.63
1194.0,clear,Low,2.49,express,8.61
46.7,rain,High,4.3,passenger,16.49
1158.3,clear,Medium,10.62,passenger,21.69
112.8,clear,Medium,0.82,passenger,7.81
477.4,rain,Low,10.56,passenger,17.59
1880.4,clear,Low,28.84,freight,25.56
29.2,rain,Low,11.12,express,8.39
1967.0,fog,High,6.73,express,20.2
275.9,rain,Medium,1.57,freight,33.5
555.5,rain,High,6.48,express,19.99
742.0,clear,High,1.33,freight,19.66
1651.3,clear,Medium,2.06,freight,17.99
1826.0,clear,High,3.96,express,11.85
1545.7,rain,Medium,10.78,express,12.63
554.9,clear,Medium,10.07,freight,15.35
1727.5,fog,Medium,0.19,freight,26.27
895.5,clear,Low,5.02,passenger,8.54
141.5,fog,Medium,4.21,passenger,16.16
1000.3,clear,Low,6.17,freight,16.73
103.6,clear,Low,4.21,passenger,7.95
831.9,clear,Low,3.23,express,8.38
1095.7,clear,Low,33.55,passenger,18.19
354.7,clear,Medium,8.0,passenger,12.29
120.5,clear,High,1.84,freight,18.7
1813.1,rain,Low,3.4,express,14.76
1330.3,clear,Low,16.15,passenger,14.4
845.0,fog,High,14.99,freight,38.24
1513.0,rain,Medium,5.38,freight,24.95
687.1,clear,Low,19.39,express,13.56
1529.8,clear,Low,14.08,express,23.38
1183.1,clear,Medium,1.72,express,7.5
603.1,storm,Low,1.82,freight,31.48
1508.4,clear,Low,2.58,passenger,10.95
811.6,clear,Low,4.34,freight,16.86
1267.6,clear,Low,31.55,express,17.41
1179.7,rain,Low,3.79,passenger,12.56
1056.8,storm,Medium,5.0,express,18.63
1564.3,storm,Medium,0.06,passenger,30.48
286.3,clear,Medium,32.65,passenger,21.14
92.4,clear,Low,3.52,passenger,9.48
109.6,clear,High,7.53,freight,18.68
934.8,clear,Low,1.13,passenger,7.47
316.8,fog,Low,3.58,freight,20.04
1466.3,clear,Medium,25.35,express,17.25
720.4,clear,Medium,3.19,express,6.96
877.9,clear,Low,5.44,express,12.12
290.6,clear,Low,20.53,express,10.52
905.0,clear,High,0.17,freight,20.57
1720.4,storm,Low,9.21,freight,34.85
1225.8,storm,Medium,11.66,passenger,28.96
72.2,clear,Medium,5.89,passenger,12.06
1184.1,clear,Low,1.43,express,9.02
1571.6,rain,Medium,3.22,freight,21.83
1198.2,rain,Medium,2.1,express,24.7
724.6,clear,Low,29.28,freight,18.53
1436.4,rain,Low,8.98,freight,21.84
1964.8,fog,Medium,6.72,passenger,20.84
941.5,fog,Low,12.7,freight,24.72
128.8,fog,Low,5.34,passenger,16.45
1630.3,rain,Medium,4.54,passenger,16.37
1302.2,clear,Medium,13.77,passenger,16.28
1314.1,storm,Low,5.14,freight,32.54
610.3,storm,Medium,17.05,passenger,31.56
1046.4,fog,Low,3.25,express,9.7
1258.8,clear,Medium,7.62,express,10.69
1805.1,rain,High,3.0,passenger,20.3
615.4,clear,High,0.24,express,14.3
305.1,clear,Low,19.13,freight,15.65
192.1,rain,Low,17.9,passenger,16.29
100.7,clear,Medium,6.3,express,6.83
408.0,rain,High,6.48,passenger,23.12
843.4,clear,Medium,7.42,freight,15.21
492.0,fog,High,10.3,passenger,28.54
1639.8,rain,Medium,31.52,express,25.1
388.9,storm,Medium,2.55,passenger,23.89
693.7,clear,Low,0.74,passenger,10.36
1769.2,fog,Medium,15.14,passenger,25.09
1623.7,clear,Low,10.38,express,16.38
690.6,rain,Medium,15.95,passenger,21.56
1432.9,storm,High,6.59,freight,56.25
476.5,clear,Low,11.3,express,10.17
1903.3,clear,Low,12.75,express,11.4
1937.8,clear,High,0.35,freight,21.59
895.9,rain,Low,1.55,passenger,10.38
34.4,clear,Medium,16.93,freight,18.62
1808.7,rain,Medium,11.07,passenger,17.78
35.9,clear,Medium,5.99,express,10.1
288.5,clear,Low,0.24,freight,9.75
1725.9,clear,Low,2.05,passenger,9.24
1821.9,clear,Medium,4.02,freight,25.55
1716.6,storm,Low,2.95,express,14.84
525.4,fog,Medium,16.65,passenger,24.63
1934.0,rain,Low,7.95,freight,19.41
1421.5,clear,High,9.18,express,16.98
573.7,clear,High,23.45,freight,25.96
255.0,clear,Low,26.89,freight,16.75
364.9,clear,Low,9.98,freight,14.27
134.4,clear,Medium,9.46,freight,14.67
1710.1,clear,Low,6.11,express,10.34
1619.9,fog,Low,22.94,freight,27.22
1761.8,rain,High,0.02,express,13.38
1977.3,clear,Low,2.15,passenger,11.0
1327.5,rain,High,21.4,express,18.7
76.0,clear,High,26.34,passenger,22.02
474.7,rain,Low,7.65,express,8.85
308.0,clear,Low,23.54,passenger,15.58
1171.4,clear,Medium,8.81,express,11.14
960.2,clear,Low,8.54,passenger,12.0
1865.6,storm,Low,8.23,passenger,29.42
790.7,clear,Medium,14.25,express,13.93
130.3,clear,Low,27.51,express,13.13
57.4,clear,High,4.56,express,10.54
1623.1,fog,Low,11.82,express,13.95
1274.1,clear,Low,2.11,express,7.75
389.6,rain,Medium,16.27,express,15.24
1813.9,rain,Medium,5.19,express,15.49
1122.2,fog,Low,39.27,passenger,26.21
1219.8,rain,Low,18.13,express,27.14
1842.0,clear,High,6.77,express,18.24
110.7,clear,Medium,9.16,express,9.76
1690.1,clear,High,15.18,freight,26.21
1956.2,storm,Low,5.97,passenger,36.58
561.4,clear,Low,20.9,passenger,16.53
1086.8,clear,Low,8.86,passenger,9.92
852.9,fog,Low,28.93,express,18.34
146.4,clear,High,3.29,express,7.46
1013.7,rain,High,6.2,passenger,21.82
1792.2,rain,Medium,0.98,freight,29.09
322.2,clear,Medium,2.46,freight,18.11
436.4,clear,Medium,53.38,passenger,25.33
1098.0,fog,Medium,17.77,passenger,21.75
98.8,clear,High,1.94,passenger,11.14
499.5,rain,Medium,7.88,passenger,17.76
910.8,clear,Low,0.83,freight,11.73
1537.0,clear,Medium,25.01,freight,24.99
569.0,storm,Low,13.44,express,16.95
332.6,clear,Low,35.56,freight,19.42
157.5,rain,Medium,7.97,freight,25.55
1703.4,clear,Medium,0.4,express,9.78
1542.9,storm,Low,13.15,express,16.16
460.0,clear,Low,3.74,passenger,8.15
809.0,clear,High,17.51,freight,27.63
853.4,clear,High,7.14,express,10.16
1562.7,fog,Low,14.97,passenger,17.83
724.9,rain,High,5.85,express,19.17
442.3,fog,Low,8.55,express,19.27
1851.3,clear,Medium,6.35,passenger,19.9
1037.5,rain,Medium,1.99,passenger,13.42
1003.3,fog,Low,0.25,freight,20.95
1512.7,clear,Low,8.24,express,9.04
918.7,clear,Medium,24.9,express,15.68
1410.7,clear,Low,4.18,passenger,11.76
372.8,fog,High,10.05,freight,36.1
628.0,clear,Low,2.42,freight,14.47
953.6,clear,Medium,12.0,express,13.25
1272.5,clear,Low,0.17,passenger,8.16
1379.7,rain,Low,7.86,freight,26.84
172.3,clear,High,16.14,express,11.92
232.9,clear,High,8.96,express,10.02
1855.0,fog,Low,10.6,express,17.56
1674.4,clear,High,0.56,passenger,15.71
250.3,clear,Low,3.33,express,6.27
580.6,rain,Medium,0.96,freight,23.37
386.2,clear,Medium,9.8,express,16.07
1201.6,clear,Low,0.53,passenger,9.89
569.8,rain,Low,9.46,express,10.41
1124.4,rain,Medium,12.57,passenger,18.45
181.4,clear,Medium,0.72,express,19.55
65.7,rain,Low,6.09,express,9.94
433.3,rain,High,0.27,passenger,17.43
971.2,clear,Medium,17.4,passenger,27.86
1334.1,clear,Low,3.79,express,7.89
1569.4,clear,Medium,2.59,passenger,11.95
686.0,rain,Low,10.07,express,10.47
821.9,rain,Low,7.41,passenger,12.05
1230.0,clear,Low,3.5,freight,13.07
1895.8,clear,High,6.52,freight,26.05
19.5,rain,High,2.07,express,10.7
663.1,fog,Low,12.95,passenger,16.98
1454.8,clear,Low,22.98,express,16.46
1819.9,clear,Low,14.38,passenger,14.59
1757.5,clear,Low,38.57,passenger,29.95
749.3,fog,Medium,1.45,express,10.94
71.8,storm,Low,6.46,express,11.87
12.6,fog,Low,35.36,freight,26.68
319.9,fog,High,6.15,freight,37.5
62.1,clear,Low,6.0,freight,14.55
40.3,rain,High,1.79,passenger,16.7
356.1,clear,Low,8.51,passenger,9.17
846.6,fog,High,16.37,passenger,27.1
1105.4,clear,Low,5.2,passenger,14.35
1768.7,clear,High,24.43,passenger,26.52
953.2,fog,Low,0.34,passenger,15.59
1376.8,clear,High,2.85,passenger,13.82
1604.5,rain,Medium,16.14,express,21.64
653.1,storm,Low,1.48,freight,25.88
1445.7,rain,Low,8.53,passenger,14.76
1387.5,fog,Low,13.73,freight,26.25
202.4,clear,Low,5.23,passenger,12.11
1621.4,fog,Low,3.3,express,12.3
771.0,clear,Medium,16.08,passenger,15.02
445.1,clear,Medium,2.54,freight,13.11
321.6,fog,Medium,1.59,express,9.67
1870.3,clear,High,5.89,freight,27.37
570.1,clear,Low,17.08,express,10.54
1553.5,clear,Medium,21.23,express,14.96
1649.5,rain,Low,33.15,express,19.35
1870.8,clear,Low,3.65,passenger,10.27
1219.7,rain,Low,11.6,express,10.57
369.3,fog,Low,2.27,freight,24.11
207.5,clear,Medium,0.12,express,6.08
151.1,storm,Medium,18.06,freight,41.96
1450.5,fog,Medium,18.27,express,17.24
1600.2,rain,Low,5.91,passenger,16.31
1577.3,rain,Medium,24.23,freight,30.26
260.5,storm,Medium,2.86,freight,41.45
858.6,clear,High,5.61,express,12.24
77.3,rain,Low,4.35,express,10.26
651.8,rain,High,12.64,passenger,23.64
850.7,clear,Low,13.29,express,8.86
686.4,clear,Medium,3.1,express,10.0
1731.5,clear,Low,0.95,passenger,10.06
1980.5,clear,High,32.07,passenger,33.28
819.7,fog,High,1.83,freight,37.78
701.0,rain,Low,5.97,freight,15.34
1726.0,clear,Medium,1.61,express,8.47
73.8,clear,Low,15.76,passenger,12.53
1585.1,clear,Low,4.95,express,10.85
189.3,clear,Low,0.71,express,4.57
456.7,clear,Low,4.26,passenger,7.45
1747.6,clear,Medium,2.79,freight,17.09
364.3,clear,High,3.56,express,10.73
886.4,fog,Low,11.0,express,12.9
775.2,storm,Low,10.4,freight,30.33
378.0,clear,High,2.67,passenger,15.07
883.2,fog,Medium,26.39,express,28.42
1282.2,clear,Low,4.1,express,9.44
1362.5,rain,Medium,11.74,freight,29.2
22.9,storm,Low,5.01,freight,33.78
645.6,clear,Low,5.61,express,7.33
1487.5,clear,Medium,0.62,passenger,10.41
606.9,rain,Medium,0.9,freight,18.46
