temperature,vibration,usage_hours,last_service_days,fault_history,risk_score,status
59.85,5.5708,32507.2,190,6,44.68,Critical
33.57,0.2594,19382.1,69,11,16.07,Healthy
81.1,0.8061,20769.6,190,12,45.37,Critical
98.25,2.3119,6367.8,150,11,33.55,Healthy
64.67,4.6822,34207.8,20,10,38.16,Warning
47.65,1.3738,4045.7,234,2,22.23,Healthy
58.91,0.7012,6150.4,152,0,16.07,Healthy
81.5,1.2746,39792.4,208,14,52.03,Critical
66.57,3.0252,18043.8,73,11,28.98,Healthy
75.64,0.441,15765.4,331,9,35.44,Warning
39.64,2.7066,34507.1,346,8,40.55,Warning
67.19,2.0149,48399.9,238,3,45.09,Critical
86.82,0.867,48801.1,25,6,43.06,Critical
71.03,1.1549,26374.4,127,2,33.79,Healthy
59.64,0.827,7093.9,102,3,27.11,Healthy
90.78,1.6555,18202.6,202,3,37.7,Warning
89.8,3.0464,19475.3,221,0,32.38,Healthy
68.02,0.2184,7562.7,93,11,23.94,Healthy
63.87,1.7011,40742.6,73,0,36.63,Warning
94.17,3.1736,41750.3,195,9,50.23,Critical
66.75,4.2282,40784.3,315,5,47.72,Critical
72.55,0.0004,16723.4,225,6,33.18,Healthy
102.01,0.0973,45923.5,227,9,53.06,Critical
77.8,1.4842,10350.4,188,4,31.82,Healthy
67.57,0.899,9832.0,277,11,38.29,Warning
45.35,0.5377,40683.9,204,14,38.47,Warning
75.53,3.1509,31942.9,363,10,49.85,Critical
73.7,1.5652,27010.9,52,7,33.12,Healthy
65.64,2.9079,11982.8,228,9,29.68,Healthy
88.88,3.6833,17878.6,148,0,38.08,Warning
55.63,4.9623,21570.8,102,11,40.43,Warning
51.26,1.3739,47104.3,166,6,33.67,Healthy
63.18,1.2106,5407.8,33,14,22.83,Healthy
74.18,0.6863,41766.7,297,7,44.97,Critical
52.05,1.5774,6995.5,75,13,23.99,Healthy
56.87,0.1122,38654.2,296,1,36.1,Warning
61.83,0.0273,33347.2,91,5,29.52,Healthy
73.63,1.3168,22688.3,86,2,30.59,Healthy
63.45,0.5637,46090.9,6,0,31.01,Healthy
88.6,0.0469,23750.4,278,6,32.17,Healthy
40.68,0.3038,32610.9,352,10,41.72,Warning
79.81,1.0579,2461.0,143,11,32.41,Healthy
64.76,0.6987,37416.5,226,8,40.38,Warning
80.6,5.6794,24132.7,251,6,45.75,Critical
103.25,1.9497,37252.5,344,11,51.63,Critical
72.55,6.7424,13296.1,249,5,38.6,Warning
76.55,4.2284,12408.1,352,0,31.6,Healthy
86.13,0.1974,11424.8,268,6,34.52,Warning
53.69,2.8749,5402.4,42,6,21.28,Healthy
83.53,1.6086,33516.2,176,4,36.79,Warning
85.84,0.1366,30567.3,178,11,42.46,Critical
71.57,2.8652,3536.9,160,7,31.76,Healthy
83.42,12.4967,3561.7,189,12,47.08,Critical
75.55,2.2527,40819.8,105,13,52.6,Critical
62.18,0.8337,8084.5,73,11,26.03,Healthy
53.91,2.2522,32620.3,353,10,44.73,Critical
88.35,0.5608,30433.3,160,8,37.1,Warning
100.34,2.163,33996.6,60,1,36.84,Warning
61.85,0.5677,24582.8,337,13,44.39,Critical
79.17,0.1025,26929.6,333,8,45.21,Critical
55.45,0.3047,35065.0,316,5,38.62,Warning
66.62,3.5252,36777.7,12,12,36.8,Warning
66.25,1.5977,6275.2,142,7,24.46,Healthy
56.6,6.3959,5158.8,306,6,32.74,Healthy
72.59,0.0016,22265.2,308,0,32.91,Healthy
88.59,5.9953,40843.6,142,0,44.53,Critical
82.13,16.7304,34961.8,321,14,75.79,Critical
65.99,4.3861,31227.8,5,1,30.04,Healthy
95.1,3.3455,19071.4,158,4,39.3,Warning
77.06,3.4274,32247.3,282,9,50.54,Critical
100.82,0.4913,5466.8,40,13,27.19,Healthy
54.22,2.9848,46385.4,328,9,52.14,Critical
119.09,2.3046,19359.5,49,9,40.21,Warning
71.2,5.4922,22201.0,33,14,37.67,Warning
56.12,4.483,28866.8,107,14,37.05,Warning
57.86,1.8432,40933.9,93,14,44.18,Critical
87.87,0.8057,25674.8,91,0,27.68,Healthy
87.46,0.8713,30662.3,347,9,40.03,Warning
86.08,0.7957,39159.3,72,4,36.48,Warning
83.03,8.9493,17569.3,26,6,36.62,Warning
56.99,0.485,5818.4,87,12,18.76,Healthy
71.76,4.0494,12024.2,114,12,35.27,Warning
39.23,1.4213,10691.1,324,0,26.9,Healthy
60.82,5.0158,42133.5,301,1,47.5,Critical
84.0,5.0577,35572.4,165,4,45.08,Critical
45.79,2.0021,1597.0,274,9,25.18,Healthy
109.62,1.2446,40886.9,117,1,42.7,Critical
93.02,5.355,44339.2,252,1,52.12,Critical
56.86,3.6045,1616.1,69,9,22.73,Healthy
84.94,0.7421,22430.2,167,3,35.61,Warning
82.43,3.5746,42105.6,106,0,37.45,Warning
72.03,0.9259,26031.4,264,5,40.56,Warning
82.97,2.8154,5677.9,44,4,21.0,Healthy
70.14,1.5884,18418.3,259,9,36.86,Warning
73.87,0.6305,17588.9,131,7,25.3,Healthy
82.43,1.1899,37500.8,362,8,45.52,Critical
81.44,0.7181,12608.0,98,9,35.96,Warning
79.37,2.3949,21138.3,226,14,43.07,Critical
79.69,1.532,16814.6,267,1,37.15,Warning
89.07,0.0209,38536.4,56,12,44.72,Critical
86.45,12.459,22557.2,48,7,49.69,Critical
56.91,0.3514,22449.0,143,13,34.41,Warning
63.39,0.6136,38466.5,44,11,36.9,Warning
96.72,0.0857,9386.1,252,13,36.85,Warning
98.27,1.5157,17651.0,218,13,46.3,Critical
83.21,5.2518,45876.8,266,6,55.26,Critical
70.77,3.5996,49810.4,336,9,60.59,Critical
87.23,0.9395,49176.2,357,9,56.89,Critical
85.16,1.5048,22031.1,242,8,40.73,Warning
51.75,6.6709,14203.5,142,4,29.27,Healthy
75.99,2.1975,45194.5,117,0,39.81,Warning
53.97,4.2632,10971.1,232,2,31.03,Healthy
68.09,3.21,8793.3,346,0,33.74,Healthy
75.47,2.23,49517.3,319,6,54.78,Critical
100.81,1.783,34718.7,51,5,38.17,Warning
43.25,0.4296,31030.0,305,11,39.89,Warning
69.65,3.6874,22141.8,96,13,35.52,Warning
85.24,1.7022,23098.4,22,5,26.11,Healthy
85.01,8.7506,23940.1,271,3,48.48,Critical
87.76,2.9088,26974.5,202,2,42.77,Critical
60.1,0.0438,34948.9,38,5,27.8,Healthy
73.06,3.0229,1140.6,263,11,35.36,Warning
68.06,0.6831,14978.1,287,6,34.18,Warning
94.65,2.256,30184.6,332,0,45.71,Critical
72.93,1.0754,45344.2,262,3,41.46,Warning
75.27,0.2797,23328.1,86,7,33.08,Healthy
77.87,2.8384,20554.9,282,1,43.19,Critical
55.36,0.4753,8834.2,101,6,17.67,Healthy
82.76,2.2274,31018.4,166,5,41.15,Warning
58.42,2.6808,47100.9,0,14,38.86,Warning
77.75,3.0205,11658.6,2,11,32.41,Healthy
64.12,2.8853,43541.9,234,10,40.72,Warning
92.97,0.1854,33707.2,147,5,39.6,Warning
75.57,0.04,23274.6,106,12,32.0,Healthy
103.96,1.5746,7976.3,29,5,31.29,Healthy
41.49,3.9828,40140.7,279,11,47.1,Critical
95.59,5.4383,11065.3,124,5,35.9,Warning
87.9,3.6483,17012.1,194,4,38.91,Warning
79.39,1.068,2536.2,13,14,26.49,Healthy
108.11,0.5909,12860.2,162,2,26.58,Healthy
53.58,1.2771,38250.4,116,14,37.42,Warning
78.19,0.1688,18011.2,185,11,34.14,Warning
93.71,1.026,31703.1,251,13,44.38,Critical
84.11,2.5384,28891.1,216,12,46.95,Critical
69.32,0.822,13176.3,235,9,28.17,Healthy
84.72,1.7722,14263.4,274,14,42.57,Critical
68.77,4.3676,30234.7,206,3,39.63,Warning
69.89,2.8744,41304.0,356,2,51.63,Critical
65.07,2.6152,25319.3,254,3,43.93,Critical
90.81,1.5266,38375.5,13,2,35.81,Warning
79.68,0.4528,11976.1,101,0,28.67,Healthy
112.75,0.2879,3672.1,330,2,37.14,Warning
87.7,2.3668,43742.5,256,7,49.55,Critical
52.75,4.1249,8535.1,123,9,27.3,Healthy
87.04,0.2742,21141.4,27,13,31.38,Healthy
58.67,0.8188,2403.5,114,4,16.13,Healthy
70.86,3.7886,26559.6,57,13,40.01,Warning
77.12,0.3894,49989.1,216,5,42.56,Critical
58.64,1.1693,8102.7,134,12,28.34,Healthy
67.42,0.9886,11271.3,245,11,36.62,Warning
64.89,1.3311,9954.1,100,8,26.34,Healthy
77.11,2.6187,7002.5,268,9,35.34,Warning
73.9,4.0938,49572.5,66,5,39.47,Warning
73.44,2.134,39746.4,58,13,43.1,Critical
100.59,1.3528,6935.6,285,0,34.0,Warning
83.14,1.2977,36499.9,103,14,46.27,Critical
81.49,5.1231,48039.5,197,0,49.03,Critical
91.46,1.9688,29102.6,140,2,36.21,Warning
102.93,0.5481,46247.9,167,7,53.44,Critical
95.97,3.4086,44314.0,275,8,60.84,Critical
59.17,1.2441,4754.8,338,7,34.83,Warning
82.92,5.7887,17256.7,242,8,44.46,Critical
86.61,11.5525,32028.7,212,11,57.42,Critical
89.46,0.7151,12234.5,131,5,32.26,Healthy
72.88,4.0606,1745.7,74,8,25.38,Healthy
76.08,5.7099,48068.2,141,5,52.57,Critical
61.71,3.9797,5375.8,77,4,24.24,Healthy
69.47,0.1553,12933.1,142,7,27.49,Healthy
57.5,1.4122,32571.7,180,14,41.82,Warning
94.11,0.7677,39212.3,248,0,46.67,Critical
67.21,0.5463,38770.1,314,0,43.27,Critical
61.01,1.536,30594.0,260,3,35.61,Warning
79.43,2.5722,21802.1,83,13,38.72,Warning
76.6,3.4584,6613.5,315,14,39.08,Warning
64.71,2.4549,12056.5,326,11,38.1,Warning
80.65,2.7397,32252.2,80,7,38.98,Warning
65.61,4.6576,24111.8,319,8,42.51,Critical
82.65,1.2533,1986.4,220,2,29.51,Healthy
74.59,2.3793,46150.0,5,14,41.17,Warning
78.26,2.6119,27702.6,40,3,28.72,Healthy
69.28,1.4485,9882.7,301,13,41.27,Warning
64.96,2.874,3899.9,269,2,25.19,Healthy
78.83,2.6899,6558.6,106,1,23.54,Healthy
51.43,2.5716,49044.4,357,13,50.86,Critical
95.77,5.3226,38256.4,217,6,48.21,Critical
68.16,0.3145,19466.3,306,1,25.69,Healthy
106.15,1.6462,27708.3,258,3,46.13,Critical
85.08,0.5009,13992.0,166,8,38.44,Warning
73.61,0.3364,35097.0,361,1,42.61,Critical
65.96,3.536,43085.4,219,6,44.48,Critical
82.79,2.9621,21796.3,306,0,41.69,Warning
81.94,1.0311,15620.2,242,4,32.59,Healthy
81.47,4.6093,21618.4,150,1,37.78,Warning
87.59,0.639,14189.9,272,14,48.35,Critical
76.81,1.0022,14258.3,328,14,37.39,Warning
92.18,0.4383,1713.8,79,0,20.28,Healthy
63.49,4.6873,14751.7,215,6,35.57,Warning
71.95,0.9401,2045.7,352,5,32.11,Healthy
84.29,1.5861,26417.5,339,14,48.97,Critical
63.3,1.8529,1558.6,253,12,34.08,Warning
75.65,0.8344,2448.0,70,8,16.31,Healthy
98.02,2.3776,20650.0,309,10,51.52,Critical
76.59,0.2357,41192.5,349,6,43.6,Critical
67.96,0.0786,21074.9,151,14,36.06,Warning
91.94,0.5966,39454.3,71,5,36.27,Warning
57.96,0.6839,22215.7,234,6,35.16,Warning
70.03,0.0691,3847.7,233,14,34.59,Warning
90.99,3.8557,35406.9,30,9,46.67,Critical
63.45,1.6302,29430.0,142,3,32.42,Healthy
78.87,0.8162,5040.8,336,9,40.13,Warning
73.95,1.7132,28364.5,268,8,35.26,Warning
98.51,1.0509,28307.9,301,8,47.12,Critical
53.67,0.2701,27988.9,360,0,35.42,Warning
66.88,3.9701,41300.5,340,0,40.6,Warning
70.13,0.8174,21192.2,294,8,33.08,Healthy
80.61,0.9029,21319.0,124,11,39.03,Warning
83.28,1.1097,11648.8,1,11,28.81,Healthy
81.35,1.2329,46601.7,351,8,58.76,Critical
96.29,0.6482,27849.9,333,5,46.68,Critical
85.08,0.9914,28703.8,362,8,44.64,Critical
55.79,2.1823,11742.1,336,10,30.15,Healthy
53.32,1.4218,2603.7,65,2,9.48,Healthy
66.94,0.4174,19286.8,341,6,37.12,Warning
67.12,0.0133,6569.5,118,1,18.08,Healthy
68.45,0.6021,14481.9,176,7,28.93,Healthy
90.73,0.5304,44568.7,341,10,53.22,Critical
65.53,0.5718,10465.8,114,1,22.15,Healthy
91.64,2.8694,41897.2,19,11,45.14,Critical
92.23,0.1192,3114.8,169,12,34.05,Warning
75.47,1.088,36525.7,25,12,45.75,Critical
67.18,3.2282,26667.2,55,10,36.83,Warning
94.32,0.1754,16983.9,182,10,41.1,Warning
62.31,2.062,21924.3,293,5,30.56,Healthy
82.18,1.0205,7746.6,193,4,29.44,Healthy
79.09,6.152,28628.1,231,10,46.77,Critical
94.46,1.4312,39598.0,260,0,45.29,Critical
80.38,0.9729,14681.6,111,9,32.43,Healthy
75.32,1.0159,24228.0,146,6,34.89,Warning
90.83,0.3812,37082.7,59,10,43.06,Critical
69.3,1.8937,25137.5,50,10,30.54,Healthy
83.44,5.4564,31448.3,31,1,36.46,Warning
76.99,0.3337,18637.5,20,0,31.23,Healthy
75.52,0.9072,4745.4,163,8,26.64,Healthy
52.76,3.0073,8525.5,172,7,27.94,Healthy
74.94,3.8024,11004.3,14,10,30.89,Healthy
59.84,3.3671,48985.1,217,8,52.4,Critical
82.95,2.3859,40378.4,259,13,58.2,Critical
110.55,1.0493,40259.7,281,7,55.49,Critical
71.61,0.0563,18988.0,362,14,44.73,Critical
88.75,1.2884,38688.7,76,6,37.02,Warning
90.13,3.8256,38940.4,162,7,47.64,Critical
57.72,1.044,8736.3,41,9,18.42,Healthy
85.62,4.9564,41314.4,39,2,36.53,Warning
70.27,0.7447,6657.7,239,11,33.1,Healthy
68.4,2.1258,47968.8,128,11,44.43,Critical
87.31,1.9762,45544.1,61,4,38.06,Warning
66.66,0.2016,2725.5,24,6,17.41,Healthy
67.37,0.7394,41204.4,314,7,44.69,Critical
86.37,2.0961,27224.2,156,8,37.11,Warning
94.35,2.4745,38656.6,60,7,40.63,Warning
76.0,3.3781,46494.9,11,14,47.46,Critical
85.01,6.3401,26194.4,342,9,56.91,Critical
53.72,10.5978,9678.1,272,13,42.91,Critical
73.48,6.3722,24232.5,278,7,43.97,Critical
81.7,1.3626,36878.4,332,8,49.61,Critical
62.35,2.401,1209.5,11,6,18.21,Healthy
84.67,0.2209,25969.1,45,7,37.2,Warning
79.23,1.2608,11024.4,293,12,42.46,Critical
79.29,0.3411,25474.2,243,4,36.96,Warning
92.78,0.1276,46050.6,282,5,47.92,Critical
93.98,0.4142,26344.0,124,1,34.08,Warning
56.77,1.5598,11370.6,140,0,21.01,Healthy
65.17,1.7464,3277.6,193,2,20.61,Healthy
83.08,5.3516,6935.3,252,1,33.55,Healthy
70.48,2.2472,31510.4,333,8,44.63,Critical
104.85,5.2482,35678.2,119,5,46.16,Critical
91.59,3.8401,29231.2,282,10,48.24,Critical
62.69,0.5966,31662.3,139,13,39.42,Warning
63.66,2.7582,14212.2,179,3,32.88,Healthy
56.02,1.7685,36791.3,282,9,36.48,Warning
80.57,1.2391,13765.8,194,9,30.84,Healthy
65.92,2.8236,33789.8,229,0,36.97,Warning
64.86,2.5687,23804.9,62,5,26.2,Healthy
56.02,0.1838,9925.6,303,14,31.43,Healthy
88.35,0.8152,2527.4,104,12,32.17,Healthy
63.8,1.2943,46022.8,128,11,39.1,Warning
61.41,0.1261,26690.2,318,6,36.42,Warning
46.7,2.2188,41955.5,268,2,37.81,Warning
81.07,0.2217,14249.3,152,1,30.04,Healthy
78.46,4.1968,18499.2,294,12,50.62,Critical
85.97,0.2381,31161.2,13,7,31.12,Healthy
96.53,0.0409,8948.2,172,5,28.79,Healthy
78.11,4.7301,15721.1,141,11,37.9,Warning
69.83,2.6346,23158.3,280,13,40.97,Warning
50.94,0.6377,49512.7,66,7,35.08,Warning
76.61,0.3692,24355.2,308,1,38.59,Warning
80.29,2.6814,7959.3,142,14,38.21,Warning
78.86,0.2128,31911.8,153,4,34.35,Warning
45.79,2.2839,45021.8,78,1,22.04,Healthy
93.53,1.1301,22875.8,206,9,37.08,Warning
84.32,1.5876,47161.4,307,6,51.56,Critical
69.15,1.5632,30661.8,289,4,37.81,Warning
70.74,0.1003,7952.2,321,6,32.46,Healthy
46.2,2.1908,30269.1,117,6,27.41,Healthy
79.85,2.8003,25773.5,33,7,33.22,Healthy
69.85,2.8085,17802.8,88,1,24.39,Healthy
58.04,3.5477,44239.9,347,0,48.86,Critical
104.61,4.7656,25162.5,217,8,47.27,Critical
98.17,2.6869,41076.6,244,2,54.76,Critical
85.86,5.4157,3736.5,89,6,29.5,Healthy
74.68,2.2971,20952.3,361,10,50.39,Critical
56.38,1.8639,2134.9,99,6,18.78,Healthy
74.71,0.7771,2224.6,220,0,22.67,Healthy
82.05,2.7438,15777.6,66,7,30.82,Healthy
73.38,0.9782,29583.2,363,5,45.57,Critical
74.47,1.9636,37670.5,247,11,44.37,Critical
77.8,0.569,14060.8,251,0,29.08,Healthy
57.85,6.0404,20979.6,99,3,26.65,Healthy
87.31,0.8637,4723.9,115,14,31.23,Healthy
90.11,2.1106,13717.7,10,2,24.28,Healthy
68.55,7.677,39053.8,67,5,43.19,Critical
64.58,0.8826,847.2,338,9,32.51,Healthy
106.81,4.0714,14119.3,362,6,46.8,Critical
92.12,0.3802,7656.0,193,8,37.25,Warning
40.2,2.1734,28090.2,167,9,35.14,Warning
73.47,2.473,38797.2,359,11,51.84,Critical
59.7,7.7626,14980.5,114,14,41.1,Warning
61.32,0.201,43403.9,93,6,32.31,Healthy
64.65,1.8056,44405.7,221,9,38.88,Warning
75.64,6.4592,14912.3,127,10,39.08,Warning
73.02,0.2963,9446.1,87,5,23.69,Healthy
55.58,0.7777,27146.5,194,7,31.53,Healthy
58.71,2.337,29367.1,177,12,37.66,Warning
44.1,0.2495,28765.7,253,12,34.01,Warning
73.64,4.3073,3384.3,5,13,29.13,Healthy
79.03,2.6256,5910.5,20,11,28.73,Healthy
87.92,2.2951,12093.3,363,3,40.5,Warning
89.72,2.1242,14769.1,353,1,37.68,Warning
76.48,5.1115,1261.0,111,10,33.3,Healthy
68.94,0.0719,1001.5,221,1,24.83,Healthy
107.1,6.4351,30787.2,209,1,53.74,Critical
61.1,0.2375,48245.1,249,8,46.2,Critical
54.65,0.6404,34112.4,18,8,22.1,Healthy
68.07,0.5281,27712.5,15,6,25.51,Healthy
77.92,9.1326,27698.7,10,11,42.27,Critical
95.25,0.9376,17657.4,221,7,40.87,Warning
67.91,4.5579,28168.0,156,11,46.82,Critical
50.69,1.4053,43989.4,23,7,24.99,Healthy
86.0,0.6012,24303.0,293,14,50.42,Critical
68.22,3.9844,30939.7,44,0,27.27,Healthy
58.96,1.193,8811.6,187,6,27.3,Healthy
61.31,0.5404,30830.9,82,9,29.44,Healthy
76.96,10.2778,8577.1,8,13,34.7,Warning
48.49,2.7039,2736.9,280,0,21.98,Healthy
97.12,0.9796,10195.9,355,7,47.71,Critical
72.46,4.3241,30107.6,348,10,48.15,Critical
75.66,0.7392,33143.3,263,1,35.78,Warning
90.7,4.6595,11987.4,120,13,40.49,Warning
63.74,2.4237,27269.3,255,10,40.76,Warning
75.88,2.9218,1369.1,172,1,27.23,Healthy
73.67,10.2759,12868.1,329,4,48.82,Critical
82.15,1.5965,19480.9,177,2,37.71,Warning
111.64,3.796,12125.2,290,13,54.27,Critical
58.47,5.7321,22905.1,216,2,35.0,Warning
73.91,0.6755,38045.1,272,12,48.09,Critical
106.69,6.0558,16041.4,205,6,43.77,Critical
61.45,0.3745,36471.3,227,1,32.66,Healthy
99.18,1.2596,28292.7,143,1,33.96,Warning
76.16,0.2679,6043.8,336,4,28.19,Healthy
90.42,3.2412,44818.9,243,0,50.55,Critical
83.4,1.218,11910.2,130,9,36.5,Warning
79.76,3.0112,7269.4,20,7,29.2,Healthy
61.61,1.5388,23308.9,265,6,34.25,Warning
72.76,2.2941,23897.5,141,14,38.86,Warning
85.26,8.7518,46298.1,353,5,64.63,Critical
69.2,2.7151,29808.3,72,4,31.44,Healthy
58.7,6.7087,15284.2,11,2,24.27,Healthy
60.26,4.6182,21649.6,112,14,34.58,Warning
96.2,0.1849,44614.2,339,14,57.84,Critical
98.93,0.0542,14062.7,158,10,35.37,Warning
64.21,3.6437,42598.3,112,9,40.62,Warning
74.67,0.0178,31778.2,233,6,39.93,Warning
93.62,1.6175,3000.2,130,5,33.87,Healthy
79.38,8.3658,43384.9,58,2,41.86,Warning
75.99,0.7962,49533.7,336,11,57.78,Critical
84.26,4.0308,7870.1,290,11,42.01,Warning
58.37,1.8955,16457.6,184,4,28.13,Healthy
64.73,1.8549,25626.9,350,10,45.03,Critical
86.48,3.2448,2834.4,290,2,32.43,Healthy
78.02,3.2995,20847.3,116,11,37.75,Warning
81.93,2.561,29799.3,244,12,45.78,Critical
76.37,1.0214,23269.2,346,2,39.93,Warning
55.64,1.0583,41992.3,81,13,39.1,Warning
81.36,5.9953,24536.7,318,9,47.41,Critical
94.48,0.2167,25400.1,277,14,44.94,Critical
82.75,9.7167,20490.5,45,9,38.67,Warning
86.0,2.5832,15931.7,293,10,40.83,Warning
60.93,2.3216,677.2,332,2,28.49,Healthy
71.26,0.3073,44902.5,76,14,42.22,Critical
68.19,0.1745,32722.5,134,12,39.62,Warning
67.42,3.2325,41444.6,90,7,36.2,Warning
65.72,0.7623,14040.1,305,8,37.55,Warning
83.9,2.5867,49819.8,78,14,51.53,Critical
83.3,1.3387,4880.3,67,5,20.4,Healthy
87.69,2.8969,38956.3,225,11,46.81,Critical
102.05,0.578,28593.4,208,10,45.37,Critical
77.64,3.2361,43891.8,48,2,42.16,Critical
82.04,3.5717,44917.6,358,13,63.11,Critical
77.73,1.431,30791.1,53,7,35.17,Warning
50.82,3.9349,17442.2,237,12,34.61,Warning
59.13,2.0689,2928.2,223,1,24.37,Healthy
82.06,2.9187,39421.0,127,14,48.61,Critical
68.44,1.6446,5627.3,274,10,37.52,Warning
74.26,18.5703,8470.7,288,13,57.28,Critical
53.66,5.33,4740.4,115,11,25.77,Healthy
79.34,0.231,1131.0,342,14,33.7,Healthy
70.58,0.6188,2449.7,138,13,28.28,Healthy
77.83,2.5606,4949.4,101,9,28.0,Healthy
77.91,0.9003,22787.9,162,2,35.78,Warning
50.65,1.6009,45138.5,110,2,38.32,Warning
91.56,5.9359,11055.7,364,5,38.75,Warning
56.03,3.1593,11.9,354,6,36.5,Warning
70.54,0.4401,38997.2,139,6,37.57,Warning
68.09,0.5838,6938.2,222,1,21.4,Healthy
90.51,1.1598,32545.1,317,3,45.14,Critical
76.65,4.5818,16906.7,282,6,44.3,Critical
89.46,4.6579,11803.4,114,8,34.26,Warning
78.09,2.6107,34812.3,273,13,48.22,Critical
74.68,1.7445,45325.3,17,14,45.14,Critical
62.94,1.6292,14938.4,37,6,24.05,Healthy
67.97,0.8425,14540.9,73,14,27.73,Healthy
75.6,1.1335,39477.5,192,4,41.64,Warning
78.9,1.3221,40960.0,216,9,38.64,Warning
65.4,0.0646,39211.3,113,1,28.52,Healthy
