alert_type,delay_impact,safety_risk,affected_trains,route_busy,peak_hour,priority
weather_alert,7.58,0.2423,16,0,0,Medium
passenger_emergency,13.66,0.0956,5,1,0,Low
weather_alert,3.93,0.1246,17,0,1,Medium
engine_issue,5.62,0.1396,1,0,1,Low
engine_issue,4.0,0.8611,8,1,1,Critical
engine_issue,17.26,0.1907,6,0,0,Low
passenger_emergency,3.95,0.2617,9,0,0,Low
track_fault,18.64,0.0508,15,1,1,Medium
signal_failure,18.73,0.2008,19,1,0,High
track_fault,11.4,0.5274,14,1,1,Critical
signal_failure,5.48,0.1677,10,0,1,Low
signal_failure,1.76,0.5165,10,1,0,Critical
signal_failure,8.49,0.1258,19,1,1,High
weather_alert,16.84,0.2482,19,0,0,Medium
weather_alert,120.0,0.2644,15,0,0,Critical
weather_alert,5.6,0.1536,4,1,0,Low
engine_issue,2.15,0.2746,6,1,1,High
weather_alert,1.36,0.4032,6,0,0,Medium
signal_failure,33.27,0.4157,5,1,1,Critical
passenger_emergency,10.3,0.561,19,0,0,Critical
engine_issue,5.3,0.2373,4,1,0,Low
passenger_emergency,8.79,0.434,17,1,0,Critical
signal_failure,6.1,0.1734,16,1,0,Medium
engine_issue,8.31,0.5977,11,0,0,Critical
weather_alert,14.62,0.1242,6,1,0,Low
engine_issue,3.83,0.3769,6,0,1,High
engine_issue,20.23,0.2063,13,0,1,Medium
signal_failure,23.68,0.1555,13,0,0,Low
track_fault,2.17,0.1076,11,0,0,Low
track_fault,2.37,0.4327,11,1,1,Critical
track_fault,8.5,0.1112,16,1,1,Medium
weather_alert,20.4,0.467,15,0,1,Critical
weather_alert,6.73,0.3988,15,1,1,Critical
weather_alert,77.07,0.2572,6,0,1,Critical
track_fault,24.68,0.5846,2,1,1,Critical
passenger_emergency,0.81,0.4072,9,0,0,Medium
signal_failure,13.14,0.059,7,1,1,Low
track_fault,19.88,0.3109,7,0,1,High
signal_failure,2.05,0.3815,10,0,1,High
track_fault,28.33,0.2032,18,1,0,High
passenger_emergency,3.69,0.2655,16,0,1,High
track_fault,3.5,0.3457,13,1,0,High
passenger_emergency,14.11,0.2491,14,0,0,Medium
engine_issue,0.99,0.1763,8,0,1,Low
weather_alert,15.66,0.1133,11,1,0,Low
engine_issue,4.2,0.5666,9,1,1,Critical
track_fault,3.59,0.2237,16,0,0,Low
weather_alert,18.07,0.3614,19,1,1,Critical
passenger_emergency,10.26,0.2055,9,0,1,Medium
track_fault,19.02,0.4443,14,0,1,Critical
weather_alert,11.76,0.2399,2,1,0,Medium
track_fault,32.14,0.4853,8,1,1,Critical
weather_alert,23.88,0.301,17,0,0,High
weather_alert,7.37,0.0561,14,1,0,Low
engine_issue,15.69,0.1571,11,0,0,Low
weather_alert,1.84,0.2732,5,0,0,Low
track_fault,18.07,0.2633,16,0,1,High
signal_failure,1.75,0.455,19,0,0,High
signal_failure,0.27,0.4358,8,1,0,High
engine_issue,7.73,0.304,16,0,0,Medium
passenger_emergency,6.53,0.1959,12,0,0,Low
signal_failure,17.05,0.0843,8,1,0,Low
engine_issue,1.28,0.1491,7,1,1,Medium
weather_alert,34.37,0.169,10,0,1,High
track_fault,27.5,0.1945,8,1,1,High
weather_alert,41.59,0.2236,12,1,1,Critical
track_fault,1.5,0.1216,3,1,1,Low
passenger_emergency,6.44,0.2935,10,1,1,High
engine_issue,2.81,0.072,15,1,1,Medium
engine_issue,3.68,0.1315,17,1,0,Medium
signal_failure,8.74,0.236,6,0,1,Medium
engine_issue,4.6,0.1255,12,1,1,Medium
passenger_emergency,3.74,0.0809,6,0,0,Low
signal_failure,6.67,0.5685,16,1,0,Critical
weather_alert,11.45,0.3162,7,0,0,Medium
engine_issue,2.77,0.1734,13,0,0,Low
weather_alert,6.08,0.4053,9,1,1,Critical
weather_alert,9.44,0.415,6,0,1,High
engine_issue,30.99,0.2626,11,0,0,Medium
track_fault,11.52,0.4275,12,1,0,Critical
weather_alert,41.5,0.1401,13,1,1,High
signal_failure,44.85,0.2644,16,0,0,High
engine_issue,3.25,0.4316,13,1,1,Critical
signal_failure,1.46,0.1946,17,0,0,Low
weather_alert,44.22,0.5566,9,1,0,Critical
weather_alert,36.36,0.1894,10,1,0,High
signal_failure,62.23,0.2078,10,0,1,Critical
weather_alert,21.42,0.1738,11,1,0,Medium
engine_issue,1.6,0.2117,3,1,0,Low
weather_alert,14.2,0.1094,17,0,1,Medium
signal_failure,11.29,0.3032,10,0,0,Medium
signal_failure,26.24,0.3688,11,1,1,Critical
engine_issue,3.23,0.1936,17,1,0,Medium
signal_failure,2.85,0.584,9,0,1,Critical
track_fault,12.75,0.3445,9,1,1,Critical
weather_alert,1.97,0.0422,11,0,1,Low
signal_failure,2.14,0.2485,18,0,1,High
weather_alert,34.72,0.561,5,1,1,Critical
signal_failure,41.01,0.1479,3,1,0,Medium
signal_failure,30.99,0.0607,3,1,1,Medium
engine_issue,19.64,0.5409,15,1,1,Critical
weather_alert,5.9,0.2802,1,0,0,Low
signal_failure,6.05,0.3319,14,1,0,High
track_fault,28.09,0.0669,17,1,1,High
passenger_emergency,52.51,0.338,13,0,0,Critical
passenger_emergency,0.08,0.1933,4,1,0,Low
engine_issue,72.56,0.2419,13,0,1,Critical
engine_issue,3.19,0.5763,9,0,0,High
track_fault,26.47,0.1897,1,0,1,Medium
weather_alert,3.62,0.3325,4,0,1,Medium
engine_issue,6.8,0.3125,15,1,1,Critical
track_fault,15.47,0.4603,11,1,0,Critical
signal_failure,4.17,0.118,10,0,1,Low
signal_failure,36.49,0.2252,15,1,0,High
passenger_emergency,2.31,0.061,10,1,0,Low
engine_issue,1.04,0.2153,19,0,0,Medium
engine_issue,48.07,0.2592,1,1,1,Critical
engine_issue,24.74,0.3025,6,1,1,Critical
weather_alert,7.07,0.2067,4,0,0,Low
signal_failure,9.6,0.2569,8,0,1,Medium
signal_failure,16.35,0.4358,18,1,1,Critical
track_fault,24.14,0.1756,8,0,0,Low
engine_issue,7.12,0.0864,6,0,0,Low
weather_alert,15.32,0.1564,2,0,1,Low
engine_issue,4.74,0.303,8,0,0,Low
engine_issue,0.51,0.1621,5,1,0,Low
passenger_emergency,27.17,0.2727,4,0,1,High
signal_failure,1.65,0.2147,3,0,0,Low
engine_issue,0.31,0.4508,13,1,0,High
engine_issue,32.8,0.2659,14,1,1,Critical
engine_issue,34.6,0.3636,15,1,1,Critical
passenger_emergency,8.94,0.537,2,1,1,Critical
track_fault,12.17,0.1176,18,0,1,Medium
passenger_emergency,6.69,0.2408,10,1,1,High
track_fault,7.97,0.2905,11,0,0,Medium
engine_issue,4.16,0.2875,17,0,1,High
engine_issue,3.68,0.2755,6,0,1,Medium
passenger_emergency,6.21,0.0813,10,1,0,Low
engine_issue,26.89,0.1763,2,1,1,Medium
track_fault,48.08,0.3683,10,0,1,Critical
signal_failure,24.19,0.1117,6,0,1,Low
track_fault,18.43,0.3953,4,1,0,High
passenger_emergency,9.78,0.356,12,1,0,High
signal_failure,5.07,0.1996,3,1,0,Low
passenger_emergency,15.06,0.2699,19,1,1,Critical
engine_issue,1.01,0.2346,5,0,1,Low
signal_failure,57.93,0.3001,2,0,1,Critical
track_fault,18.51,0.1086,9,1,0,Low
engine_issue,31.57,0.2972,8,1,1,Critical
track_fault,0.2,0.3727,13,0,0,Medium
signal_failure,1.58,0.2932,13,1,1,High
weather_alert,21.36,0.2284,12,0,0,Medium
weather_alert,0.41,0.2761,11,1,0,Medium
signal_failure,11.51,0.2459,15,1,0,High
track_fault,3.82,0.4928,13,1,1,Critical
track_fault,5.63,0.2705,3,0,0,Low
weather_alert,18.72,0.2727,9,0,0,Medium
weather_alert,4.09,0.3998,14,1,0,High
weather_alert,5.67,0.1514,6,1,1,Medium
passenger_emergency,14.44,0.195,17,0,1,Medium
weather_alert,2.62,0.2184,10,0,1,Medium
track_fault,18.3,0.5282,7,1,0,Critical
signal_failure,28.27,0.2962,8,1,1,Critical
weather_alert,35.88,0.2212,12,1,0,High
passenger_emergency,11.29,0.1857,14,0,0,Low
passenger_emergency,3.78,0.189,5,0,0,Low
track_fault,2.74,0.127,4,0,0,Low
track_fault,2.7,0.2914,2,0,0,Low
signal_failure,0.51,0.2625,10,0,0,Low
signal_failure,20.23,0.0814,18,0,0,Low
engine_issue,10.04,0.5266,19,0,0,Critical
engine_issue,32.83,0.2265,11,1,1,Critical
track_fault,1.91,0.4117,11,0,0,Medium
track_fault,45.68,0.1933,10,1,0,High
passenger_emergency,8.62,0.3596,5,0,1,High
engine_issue,1.76,0.0561,8,1,1,Low
passenger_emergency,0.28,0.3694,18,1,0,High
passenger_emergency,3.31,0.386,12,1,0,High
track_fault,28.46,0.1654,5,1,1,High
track_fault,3.31,0.1317,2,0,1,Low
passenger_emergency,18.42,0.2358,15,0,0,Medium
weather_alert,1.21,0.3028,18,0,1,High
track_fault,8.75,0.1911,3,1,0,Low
weather_alert,14.72,0.0527,8,0,0,Low
engine_issue,26.23,0.1811,17,1,1,High
passenger_emergency,16.16,0.2227,5,1,0,Medium
track_fault,0.69,0.2592,4,0,0,Low
passenger_emergency,22.58,0.3199,8,1,1,Critical
passenger_emergency,0.08,0.3998,8,1,1,High
signal_failure,2.98,0.6066,10,1,1,Critical
signal_failure,36.04,0.2756,19,0,1,Critical
engine_issue,18.76,0.4028,19,0,0,Critical
signal_failure,17.56,0.1288,12,1,1,Medium
track_fault,10.45,0.1048,2,0,1,Low
engine_issue,18.18,0.4699,6,1,1,Critical
passenger_emergency,3.01,0.1484,4,1,1,Low
passenger_emergency,11.55,0.3866,1,0,1,High
signal_failure,6.66,0.0273,8,0,1,Low
passenger_emergency,5.92,0.4919,1,1,1,Critical
signal_failure,16.0,0.075,11,1,1,Medium
weather_alert,4.34,0.4513,6,0,0,Medium
passenger_emergency,14.38,0.2283,14,1,0,High
passenger_emergency,7.86,0.3777,11,1,0,High
track_fault,74.13,0.2693,19,1,0,Critical
passenger_emergency,4.0,0.294,10,0,1,Medium
signal_failure,1.1,0.1939,3,1,1,Medium
engine_issue,33.24,0.3601,18,1,0,Critical
engine_issue,51.22,0.5769,6,0,0,Critical
track_fault,16.87,0.3968,15,1,1,Critical
signal_failure,0.7,0.1739,15,0,1,Medium
weather_alert,0.27,0.376,18,0,1,High
track_fault,1.62,0.1315,13,0,0,Low
weather_alert,31.76,0.1346,10,1,0,Medium
engine_issue,52.85,0.232,8,1,0,High
track_fault,2.3,0.2215,9,0,0,Low
passenger_emergency,2.62,0.2543,15,1,0,Medium
signal_failure,3.26,0.3,11,1,1,High
weather_alert,29.19,0.4074,1,1,0,High
weather_alert,14.69,0.2763,8,1,0,Medium
track_fault,13.93,0.4398,18,1,0,Critical
track_fault,0.14,0.5965,5,0,0,High
signal_failure,9.15,0.4449,9,0,1,High
passenger_emergency,10.06,0.3328,16,0,1,High
passenger_emergency,4.07,0.2557,6,1,1,Medium
track_fault,0.69,0.5274,13,0,1,Critical
signal_failure,15.89,0.2716,15,0,1,High
signal_failure,15.4,0.3486,7,1,1,Critical
signal_failure,5.43,0.4486,18,0,0,High
passenger_emergency,26.64,0.2018,9,1,0,Medium
passenger_emergency,24.62,0.0713,6,0,1,Low
signal_failure,19.74,0.2867,5,0,0,Medium
weather_alert,9.51,0.3527,6,1,1,High
signal_failure,72.52,0.2616,11,0,1,Critical
track_fault,4.43,0.6433,5,0,0,Critical
engine_issue,9.71,0.2851,7,1,0,Medium
weather_alert,29.31,0.4302,14,0,0,Critical
passenger_emergency,21.44,0.3314,17,0,1,Critical
signal_failure,10.39,0.0821,13,1,0,Low
signal_failure,13.9,0.0777,11,0,1,Low
track_fault,25.04,0.5235,14,0,1,Critical
track_fault,9.3,0.2996,8,1,0,Medium
passenger_emergency,1.86,0.2433,6,0,1,Medium
weather_alert,3.75,0.2646,15,0,1,Medium
track_fault,11.97,0.199,3,1,1,Medium
passenger_emergency,0.8,0.4696,18,1,1,Critical
engine_issue,16.12,0.4331,9,1,1,Critical
engine_issue,1.28,0.1966,16,0,1,Medium
engine_issue,6.27,0.3396,2,1,0,Medium
signal_failure,15.51,0.4948,10,1,1,Critical
passenger_emergency,2.9,0.3139,9,1,1,High
signal_failure,10.94,0.0979,7,0,0,Low
signal_failure,83.79,0.3068,10,0,1,Critical
track_fault,1.03,0.1865,13,0,1,Medium
track_fault,14.73,0.5076,18,0,0,Critical
signal_failure,16.18,0.5113,16,0,1,Critical
signal_failure,16.52,0.4424,5,0,1,High
weather_alert,44.83,0.2936,19,1,1,Critical
passenger_emergency,18.96,0.2333,10,0,0,Medium
signal_failure,49.82,0.5925,9,1,0,Critical
track_fault,10.52,0.0602,1,1,1,Low
engine_issue,10.94,0.1846,13,0,1,Medium
passenger_emergency,54.91,0.2862,17,0,0,Critical
weather_alert,14.18,0.3728,6,1,1,Critical
weather_alert,5.07,0.2563,17,0,1,High
engine_issue,22.2,0.316,2,0,0,Medium
engine_issue,15.33,0.0936,19,0,1,Medium
signal_failure,19.67,0.2615,5,0,0,Medium
passenger_emergency,14.13,0.6132,10,1,0,Critical
passenger_emergency,28.33,0.5625,1,0,0,Critical
signal_failure,7.41,0.3537,18,0,0,High
weather_alert,2.93,0.124,10,1,0,Low
signal_failure,3.82,0.1972,19,1,0,Medium
weather_alert,19.3,0.1628,8,0,0,Low
passenger_emergency,15.11,0.3066,2,0,1,Medium
signal_failure,46.69,0.1846,13,0,1,High
engine_issue,11.53,0.1004,4,0,0,Low
signal_failure,4.9,0.2878,12,1,0,Medium
engine_issue,64.99,0.5507,1,0,1,Critical
passenger_emergency,39.39,0.11,4,1,0,Medium
signal_failure,26.24,0.4249,13,0,0,Critical
track_fault,35.22,0.3068,13,0,0,High
passenger_emergency,8.08,0.5642,3,0,1,Critical
track_fault,4.59,0.1029,4,1,0,Low
signal_failure,6.23,0.2555,17,1,1,High
engine_issue,34.11,0.5077,1,0,0,Critical
engine_issue,23.15,0.378,5,1,1,Critical
weather_alert,0.96,0.3208,19,0,0,Medium
track_fault,17.83,0.1995,11,1,1,High
passenger_emergency,5.31,0.5884,1,0,1,Critical
engine_issue,51.14,0.3533,17,0,0,Critical
track_fault,24.02,0.4294,7,1,0,Critical
passenger_emergency,17.23,0.5003,14,0,1,Critical
passenger_emergency,12.09,0.3689,13,1,1,Critical
engine_issue,3.26,0.5012,7,0,1,Critical
signal_failure,19.06,0.2741,8,0,0,Medium
engine_issue,11.9,0.5089,11,0,0,High
engine_issue,28.04,0.0654,8,0,0,Low
signal_failure,6.4,0.5417,4,0,1,Critical
weather_alert,17.16,0.1084,14,0,0,Low
passenger_emergency,1.68,0.269,13,0,0,Low
signal_failure,3.64,0.6715,12,1,0,Critical
weather_alert,3.5,0.1579,15,1,0,Medium
signal_failure,6.82,0.5503,10,1,1,Critical
weather_alert,31.48,0.2142,18,1,0,High
engine_issue,9.82,0.1567,17,1,1,High
signal_failure,11.69,0.2866,19,0,0,Medium
passenger_emergency,1.3,0.3199,3,1,1,High
signal_failure,9.4,0.2967,2,0,1,Medium
engine_issue,10.31,0.1483,9,1,0,Low
signal_failure,6.45,0.4128,14,0,0,High
passenger_emergency,16.58,0.2367,5,1,0,Medium
weather_alert,10.66,0.216,3,0,1,Low
passenger_emergency,2.78,0.4538,1,1,1,High
engine_issue,14.13,0.5578,11,0,1,Critical
engine_issue,10.86,0.4177,19,0,0,High
weather_alert,6.44,0.1856,9,0,1,Low
weather_alert,0.42,0.4694,14,1,0,Critical
passenger_emergency,8.24,0.1324,1,0,0,Low
signal_failure,37.43,0.0819,5,0,0,Low
weather_alert,27.95,0.0894,13,1,0,Medium
signal_failure,13.32,0.14,8,0,1,Low
track_fault,3.25,0.327,1,1,0,Medium
passenger_emergency,22.77,0.4697,5,0,1,Critical
track_fault,26.12,0.177,16,0,1,High
weather_alert,0.73,0.4721,14,0,0,High
engine_issue,39.68,0.0537,16,0,1,Medium
track_fault,42.0,0.408,7,1,0,Critical
track_fault,3.83,0.1741,18,1,1,High
engine_issue,6.74,0.2245,18,0,1,High
weather_alert,1.08,0.2723,7,0,0,Low
weather_alert,24.82,0.3024,4,0,0,Medium
passenger_emergency,11.23,0.3164,19,1,0,High
passenger_emergency,18.98,0.1367,7,1,0,Low
weather_alert,16.34,0.2874,10,0,0,Medium
weather_alert,20.8,0.1521,18,1,0,Medium
track_fault,9.45,0.0877,6,0,1,Low
engine_issue,4.46,0.2958,17,0,0,Medium
signal_failure,8.92,0.2686,4,1,1,High
track_fault,2.64,0.0687,6,0,0,Low
passenger_emergency,63.43,0.1379,8,0,1,High
engine_issue,8.37,0.0651,10,0,1,Low
signal_failure,4.94,0.5327,5,1,1,Critical
weather_alert,6.75,0.0981,17,1,1,Medium
passenger_emergency,7.17,0.2721,13,1,0,High
passenger_emergency,10.61,0.2561,13,0,1,High
track_fault,10.67,0.4979,14,0,1,Critical
engine_issue,5.36,0.0459,13,1,0,Low
engine_issue,10.83,0.5548,13,1,0,Critical
track_fault,61.3,0.433,13,0,0,Critical
track_fault,1.96,0.327,14,0,0,Medium
track_fault,3.2,0.3361,18,1,1,Critical
passenger_emergency,53.9,0.3183,4,1,0,Critical
weather_alert,25.88,0.1072,10,0,0,Low
passenger_emergency,51.0,0.2659,4,0,0,High
passenger_emergency,18.69,0.3948,4,0,0,Medium
passenger_emergency,31.32,0.3896,19,0,1,Critical
signal_failure,1.36,0.2557,9,0,0,Low
passenger_emergency,29.91,0.2137,14,0,1,High
signal_failure,12.47,0.2054,14,0,0,Low
engine_issue,32.56,0.0569,1,1,0,Low
engine_issue,14.18,0.3446,10,1,0,High
track_fault,0.12,0.0995,4,0,1,Low
signal_failure,5.77,0.1521,6,1,0,Low
signal_failure,3.48,0.0377,4,1,0,Low
passenger_emergency,20.74,0.1121,13,0,1,Medium
track_fault,16.59,0.178,3,0,1,Low
track_fault,5.49,0.0851,9,1,0,Low
passenger_emergency,8.11,0.501,6,0,0,High
signal_failure,3.75,0.0437,19,0,1,Low
passenger_emergency,3.4,0.1799,15,1,1,High
passenger_emergency,1.63,0.1023,7,1,1,Low
engine_issue,11.22,0.2359,6,0,1,Medium
signal_failure,4.75,0.3258,14,0,0,Medium
signal_failure,9.21,0.2669,12,0,1,Medium
track_fault,12.83,0.3795,11,0,1,High
engine_issue,13.38,0.5577,2,0,1,Critical
signal_failure,3.6,0.0452,2,0,1,Low
engine_issue,5.42,0.2846,13,0,0,Medium
signal_failure,0.21,0.5813,9,0,0,High
engine_issue,8.07,0.1199,16,0,1,Medium
signal_failure,20.85,0.1809,1,1,1,Medium
weather_alert,0.56,0.1796,4,1,1,Medium
signal_failure,27.29,0.2607,16,0,1,High
signal_failure,34.11,0.1361,19,1,0,High
signal_failure,12.56,0.3051,14,0,1,High
passenger_emergency,27.36,0.2505,1,1,0,Medium
signal_failure,9.28,0.405,1,1,0,High
engine_issue,4.94,0.2731,17,0,1,High
engine_issue,0.95,0.5982,10,0,0,Critical
engine_issue,0.76,0.1371,10,0,0,Low
weather_alert,27.51,0.5156,19,0,0,Critical
passenger_emergency,41.48,0.0835,5,0,1,Medium
track_fault,11.87,0.1477,6,1,0,Low
passenger_emergency,33.47,0.342,14,1,0,Critical
track_fault,15.38,0.1413,18,0,0,Low
passenger_emergency,25.18,0.3172,7,0,0,Medium
engine_issue,14.17,0.1731,3,1,1,Medium
weather_alert,13.54,0.0913,2,1,0,Low
passenger_emergency,6.4,0.2658,1,1,0,Low
weather_alert,14.12,0.0817,8,1,0,Low
passenger_emergency,4.51,0.2068,11,0,0,Low
engine_issue,0.86,0.1908,10,1,1,Medium
signal_failure,11.51,0.4848,5,0,0,High
engine_issue,1.48,0.2532,13,1,0,Medium
signal_failure,8.53,0.5057,17,0,0,Critical
passenger_emergency,0.33,0.1492,5,0,0,Low
track_fault,14.31,0.5592,13,1,1,Critical
track_fault,5.68,0.3308,11,1,1,High
track_fault,1.99,0.1608,14,1,1,Medium
weather_alert,8.02,0.1659,1,1,1,Medium
engine_issue,7.55,0.2725,13,1,0,High
